imgsz,h50_phys_px,recall_near,recall_mid,recall_far,n_seeds
1280,32.38,0.8959,0.5703,0.1083,5
1920,23.49,0.9114,0.5218,0.1985,5
2560,25.99,0.8188,0.2443,0.05,5
3840,24.95,0.7371,0.1121,0.0167,5
