model,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
stock,0,4,1,0.0,0.0,3
stock,4,8,231,0.0087,0.0061,3
stock,8,12,2092,0.0429,0.0252,3
stock,12,16,3466,0.1538,0.072,3
stock,16,20,3546,0.3673,0.1091,3
stock,20,24,3204,0.5921,0.0821,3
stock,24,32,4982,0.7569,0.0409,3
stock,32,48,5677,0.886,0.0121,3
stock,48,64,2837,0.9273,0.0265,3
stock,64,96,2403,0.9309,0.0365,3
stock,96,inf,858,0.8986,0.0729,3
