seed,arm,frame,tile_idx,n_all_classes,n_plant,max_det,hit_cap
stock_s0,tile,20260705_132815_000024.jpg,0,641,300,6000,0
stock_s0,tile,20260705_132815_000024.jpg,1,635,222,6000,0
stock_s0,tile,20260705_132815_000024.jpg,2,590,245,6000,0
stock_s0,tile,20260705_132815_000024.jpg,3,537,144,6000,0
stock_s0,tile,20260705_132815_000024.jpg,4,541,183,6000,0
stock_s0,tile,20260705_132815_000024.jpg,5,447,173,6000,0
stock_s0,tile,20260705_132815_000024.jpg,6,400,187,6000,0
stock_s0,tile,20260705_132815_000024.jpg,7,442,197,6000,0
stock_s0,tile,20260705_132815_000024.jpg,8,590,288,6000,0
stock_s0,tile,20260705_132815_000024.jpg,9,638,281,6000,0
stock_s0,tile,20260705_132815_000024.jpg,10,649,326,6000,0
stock_s0,tile,20260705_132815_000024.jpg,11,476,216,6000,0
stock_s0,tile,20260705_132815_000024.jpg,12,516,267,6000,0
stock_s0,tile,20260705_132815_000024.jpg,13,411,227,6000,0
stock_s0,tile,20260705_132815_000024.jpg,14,496,294,6000,0
stock_s0,tile,20260705_132815_000024.jpg,15,542,350,6000,0
stock_s0,tile,20260705_132815_000024.jpg,16,309,189,6000,0
stock_s0,tile,20260705_132815_000024.jpg,17,258,152,6000,0
stock_s0,tile,20260705_132815_000024.jpg,18,225,130,6000,0
stock_s0,tile,20260705_132815_000024.jpg,19,236,149,6000,0
stock_s0,tile,20260705_132815_000024.jpg,20,368,250,6000,0
stock_s0,tile,20260705_132815_000024.jpg,21,290,184,6000,0
stock_s0,tile,20260705_132815_000024.jpg,22,278,202,6000,0
stock_s0,tile,20260705_132815_000024.jpg,23,312,212,6000,0
stock_s0,tile,20260705_132815_000024.jpg,24,157,95,6000,0
stock_s0,tile,20260705_132815_000024.jpg,25,105,60,6000,0
stock_s0,tile,20260705_132815_000024.jpg,26,130,70,6000,0
stock_s0,tile,20260705_132815_000024.jpg,27,99,60,6000,0
stock_s0,tile,20260705_132815_000024.jpg,28,288,170,6000,0
stock_s0,tile,20260705_132815_000024.jpg,29,256,145,6000,0
stock_s0,tile,20260705_132815_000024.jpg,30,177,100,6000,0
stock_s0,tile,20260705_132815_000024.jpg,31,147,81,6000,0
stock_s0,tile_addfull,20260705_132815_000024.jpg,-1,1553,577,6000,0
stock_s0,tile,20260705_132815_000048.jpg,0,617,290,6000,0
stock_s0,tile,20260705_132815_000048.jpg,1,653,224,6000,0
stock_s0,tile,20260705_132815_000048.jpg,2,588,206,6000,0
stock_s0,tile,20260705_132815_000048.jpg,3,526,155,6000,0
stock_s0,tile,20260705_132815_000048.jpg,4,468,196,6000,0
stock_s0,tile,20260705_132815_000048.jpg,5,459,223,6000,0
stock_s0,tile,20260705_132815_000048.jpg,6,420,208,6000,0
stock_s0,tile,20260705_132815_000048.jpg,7,414,216,6000,0
stock_s0,tile,20260705_132815_000048.jpg,8,451,274,6000,0
stock_s0,tile,20260705_132815_000048.jpg,9,472,258,6000,0
stock_s0,tile,20260705_132815_000048.jpg,10,500,259,6000,0
stock_s0,tile,20260705_132815_000048.jpg,11,430,228,6000,0
stock_s0,tile,20260705_132815_000048.jpg,12,458,280,6000,0
stock_s0,tile,20260705_132815_000048.jpg,13,449,269,6000,0
stock_s0,tile,20260705_132815_000048.jpg,14,532,362,6000,0
stock_s0,tile,20260705_132815_000048.jpg,15,544,386,6000,0
stock_s0,tile,20260705_132815_000048.jpg,16,263,160,6000,0
stock_s0,tile,20260705_132815_000048.jpg,17,228,124,6000,0
stock_s0,tile,20260705_132815_000048.jpg,18,224,133,6000,0
stock_s0,tile,20260705_132815_000048.jpg,19,230,143,6000,0
stock_s0,tile,20260705_132815_000048.jpg,20,362,227,6000,0
stock_s0,tile,20260705_132815_000048.jpg,21,318,202,6000,0
stock_s0,tile,20260705_132815_000048.jpg,22,195,136,6000,0
stock_s0,tile,20260705_132815_000048.jpg,23,264,168,6000,0
stock_s0,tile,20260705_132815_000048.jpg,24,133,69,6000,0
stock_s0,tile,20260705_132815_000048.jpg,25,84,42,6000,0
stock_s0,tile,20260705_132815_000048.jpg,26,139,93,6000,0
stock_s0,tile,20260705_132815_000048.jpg,27,79,46,6000,0
stock_s0,tile,20260705_132815_000048.jpg,28,262,169,6000,0
stock_s0,tile,20260705_132815_000048.jpg,29,244,138,6000,0
stock_s0,tile,20260705_132815_000048.jpg,30,201,122,6000,0
stock_s0,tile,20260705_132815_000048.jpg,31,179,96,6000,0
stock_s0,tile_addfull,20260705_132815_000048.jpg,-1,1450,502,6000,0
stock_s0,tile,20260705_132815_000108.jpg,0,484,214,6000,0
stock_s0,tile,20260705_132815_000108.jpg,1,644,253,6000,0
stock_s0,tile,20260705_132815_000108.jpg,2,652,259,6000,0
stock_s0,tile,20260705_132815_000108.jpg,3,494,175,6000,0
stock_s0,tile,20260705_132815_000108.jpg,4,524,208,6000,0
stock_s0,tile,20260705_132815_000108.jpg,5,478,224,6000,0
stock_s0,tile,20260705_132815_000108.jpg,6,497,290,6000,0
stock_s0,tile,20260705_132815_000108.jpg,7,466,281,6000,0
stock_s0,tile,20260705_132815_000108.jpg,8,380,200,6000,0
stock_s0,tile,20260705_132815_000108.jpg,9,349,189,6000,0
