model,stratum,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
stock,near,11775,0.9115,0.0272,0.3352,0.0491,5
stock,mid,11732,0.6618,0.0637,0.5453,0.0688,5
stock,far,5790,0.1915,0.071,0.708,0.131,5
stock,all,29297,0.6692,0.0324,0.4048,0.0494,5
nearfar,near,11775,0.9637,0.0109,0.325,0.0457,5
nearfar,mid,11732,0.7543,0.0329,0.5459,0.0263,5
nearfar,far,5790,0.2345,0.052,0.7871,0.1871,5
nearfar,all,29297,0.7357,0.0248,0.4048,0.035,5
