imgsz,h50_phys_px,h50_phys_px_minn,min_n,n_bins_used,recall_near,recall_mid,recall_far,n_seeds
1280,111.42,111.42,100,6,0.9115,0.6618,0.1915,5
1920,87.21,87.21,100,6,0.8975,0.5689,0.2641,5
2560,26.67,71.23,100,6,0.8888,0.5221,0.375,5
3840,25.24,66.07,100,6,0.8518,0.4157,0.7,5
