tier,n_gt,full_ap_mean,full_ap_std,sahi_ap_mean,sahi_ap_std,delta_sahi_minus_full,n_seeds
near,11775,0.7623,0.0593,0.6037,0.0393,-0.1586,3
mid,11732,0.4088,0.1181,0.3432,0.0827,-0.0656,3
far,5790,0.0157,0.0148,0.0382,0.0096,0.0225,3
all,29297,0.5564,0.0448,0.5328,0.0473,-0.0236,3
