tier,n_gt,full_ap_mean,full_ap_std,sahi_ap_mean,sahi_ap_std,delta_sahi_minus_full,n_seeds
near,11775,0.7551,0.0481,0.6666,0.046,-0.0885,5
mid,11732,0.5066,0.0565,0.3935,0.0836,-0.1131,5
far,5790,0.1067,0.0451,0.0307,0.0141,-0.076,5
all,29297,0.4952,0.0422,0.4111,0.0215,-0.0841,5
