tier,n_gt,full_ap_mean,full_ap_std,sahi_ap_mean,sahi_ap_std,delta_sahi_minus_full,n_seeds
near,11775,0.7599,0.0537,0.6138,0.0311,-0.1461,5
mid,11732,0.3849,0.093,0.3241,0.0672,-0.0608,5
far,5790,0.0158,0.0114,0.0357,0.0089,0.0198,5
all,29297,0.5493,0.0399,0.5241,0.0374,-0.0252,5
