tier,n_gt,full_ap_mean,full_ap_std,sahi_ap_mean,sahi_ap_std,delta_sahi_minus_full,n_seeds
near,11775,0.7624,0.0405,0.6193,0.0472,-0.1431,3
mid,11732,0.3319,0.1157,0.1843,0.0315,-0.1476,3
far,5790,0.0053,0.0052,0.0037,0.0008,-0.0016,3
all,29297,0.5137,0.043,0.426,0.0051,-0.0878,3
