model,stratum,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
stock,near,11775,0.906,0.03,0.3292,0.071,3
stock,mid,11732,0.5941,0.0891,0.6071,0.0643,3
stock,far,5790,0.1079,0.0642,0.7765,0.1049,3
stock,all,29297,0.6234,0.038,0.4026,0.0736,3
