tier,n_gt,full_ap_mean,full_ap_std,sahi_ap_mean,sahi_ap_std,delta_sahi_minus_full,n_seeds
near,11775,0.7742,0.0484,0.6991,0.026,-0.075,5
mid,11732,0.569,0.0521,0.5542,0.0766,-0.0149,5
far,5790,0.1796,0.0662,0.1631,0.0606,-0.0164,5
all,29297,0.5495,0.0391,0.522,0.0383,-0.0275,5
