epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,154.798,2.42829,1.33951,1.33867,0.46658,0.49896,0.45136,0.16452,2.72522,1.50124,1.55978,0.007921,0.007921,0.007921
44,158.262,2.38991,1.31368,1.29825,0.50251,0.46037,0.47086,0.18345,2.83289,1.4852,1.59026,0.0078715,0.0078715,0.0078715
45,161.835,2.47299,1.32774,1.34969,0.55305,0.51167,0.48946,0.1777,2.84818,1.41799,1.59865,0.007822,0.007822,0.007822
46,165.417,2.41769,1.26983,1.31983,0.4971,0.48593,0.47324,0.19187,2.66829,1.46728,1.5219,0.0077725,0.0077725,0.0077725
47,168.963,2.419,1.32548,1.34427,0.52795,0.45502,0.45258,0.17811,2.70414,1.52682,1.53983,0.007723,0.007723,0.007723
48,172.526,2.41284,1.31547,1.32216,0.54157,0.43907,0.44364,0.1581,2.81063,1.53719,1.61138,0.0076735,0.0076735,0.0076735
49,176.114,2.41093,1.30503,1.29937,0.59485,0.43485,0.47106,0.18085,2.81715,1.47991,1.58987,0.007624,0.007624,0.007624
50,179.701,2.37503,1.261,1.28843,0.6122,0.47408,0.50434,0.19767,2.67235,1.40554,1.52347,0.0075745,0.0075745,0.0075745
51,183.287,2.42207,1.26426,1.30987,0.57818,0.4719,0.48802,0.19143,2.77148,1.47609,1.56022,0.007525,0.007525,0.007525
52,186.848,2.37491,1.23691,1.31214,0.56633,0.47313,0.46517,0.18043,2.90043,1.46917,1.64036,0.0074755,0.0074755,0.0074755
53,190.418,2.38801,1.24925,1.31645,0.5663,0.47225,0.47535,0.18295,2.6727,1.40483,1.50985,0.007426,0.007426,0.007426
54,193.968,2.36152,1.23906,1.2928,0.65642,0.40568,0.49665,0.18018,2.9098,1.45151,1.59677,0.0073765,0.0073765,0.0073765
55,197.5,2.37548,1.24739,1.3171,0.51889,0.42864,0.46679,0.17829,2.80212,1.53377,1.55962,0.007327,0.007327,0.007327
56,201.077,2.3537,1.24391,1.28577,0.59539,0.46914,0.49282,0.18804,2.73555,1.40717,1.53945,0.0072775,0.0072775,0.0072775
57,204.635,2.34701,1.21246,1.29406,0.61853,0.49945,0.50494,0.20231,2.65875,1.39354,1.50392,0.007228,0.007228,0.007228
58,208.225,2.35077,1.23167,1.30074,0.56463,0.49694,0.50524,0.19246,2.78817,1.40182,1.56218,0.0071785,0.0071785,0.0071785
59,211.764,2.39434,1.239,1.31968,0.54104,0.46818,0.50027,0.20051,2.75938,1.46674,1.54824,0.007129,0.007129,0.007129
60,215.325,2.31685,1.21087,1.28871,0.60642,0.47695,0.47389,0.17838,2.81183,1.4098,1.58672,0.0070795,0.0070795,0.0070795
61,218.948,2.31414,1.19007,1.27276,0.57267,0.46658,0.47773,0.16994,2.9494,1.42043,1.65015,0.00703,0.00703,0.00703
62,222.499,2.31463,1.18225,1.26418,0.59973,0.51571,0.52537,0.21247,2.64129,1.30965,1.4819,0.0069805,0.0069805,0.0069805
63,226.074,2.30794,1.17297,1.27508,0.61299,0.51385,0.51103,0.20689,2.63582,1.32333,1.48122,0.006931,0.006931,0.006931
