epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/feat_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/feat_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,124.28,2.51032,2.51365,1.94681,0.05336,0.32089,0.29075,0.29925,0.13434,1.91961,1.47076,1.47017,0,0.00332538,0.00332538,0.00332538,0.00332538
2,246.108,1.86167,1.41359,1.36598,0.00726,0.84271,0.34113,0.33993,0.1536,1.90637,1.29418,1.40669,0,0.00662575,0.00662575,0.00662575,0.00662575
3,367.672,1.80665,1.32838,1.31906,0.00845,0.84368,0.32226,0.32478,0.14915,1.85528,1.3484,1.41226,0,0.00989312,0.00989312,0.00989312,0.00989312
4,489.157,1.7356,1.21262,1.28711,0.00899,0.84215,0.3502,0.33768,0.15836,1.81306,1.29601,1.39939,0,0.0098515,0.0098515,0.0098515,0.0098515
5,610.646,1.6322,1.10122,1.23381,0.01001,0.84213,0.36105,0.34188,0.16028,1.83735,1.16674,1.42614,0,0.009802,0.009802,0.009802,0.009802
6,732.238,1.53798,1.02905,1.19139,0.00955,0.85311,0.34011,0.34176,0.16056,1.82642,1.18867,1.39682,0,0.0097525,0.0097525,0.0097525,0.0097525
7,853.813,1.46365,0.96529,1.15696,0.00939,0.84929,0.3566,0.35098,0.16805,1.82242,1.13261,1.40302,0,0.009703,0.009703,0.009703,0.009703
8,975.216,1.39856,0.90947,1.128,0.00935,0.85547,0.3397,0.34994,0.1656,1.84107,1.17401,1.42032,0,0.0096535,0.0096535,0.0096535,0.0096535
9,1096.71,1.32875,0.86067,1.09558,0.00975,0.84843,0.34569,0.34429,0.16316,1.84007,1.17749,1.43152,0,0.009604,0.009604,0.009604,0.009604
10,1218.21,1.27314,0.82165,1.073,0.00933,0.8517,0.34341,0.34678,0.16576,1.83136,1.16607,1.43805,0,0.0095545,0.0095545,0.0095545,0.0095545
11,1339.62,1.21318,0.77397,1.04732,0.0101,0.84975,0.34287,0.34072,0.16206,1.85597,1.21403,1.4541,0,0.009505,0.009505,0.009505,0.009505
12,1461,1.1577,0.73462,1.02318,0.01057,0.84899,0.34551,0.34294,0.16327,1.85443,1.19214,1.46048,0,0.0094555,0.0094555,0.0094555,0.0094555
13,1582.45,1.10648,0.69292,1.00402,0.00988,0.84189,0.34222,0.33452,0.15716,1.89008,1.22078,1.48434,0,0.009406,0.009406,0.009406,0.009406
14,1703.87,1.06682,0.66203,0.9878,0.01108,0.34374,0.33048,0.32814,0.15715,1.86457,1.27269,1.4952,0,0.0093565,0.0093565,0.0093565,0.0093565
15,1825.25,1.02547,0.63016,0.97238,0.00947,0.34733,0.33027,0.32973,0.15771,1.87595,1.33578,1.50288,0,0.009307,0.009307,0.009307,0.009307
16,1946.67,0.9897,0.60117,0.957,0.0096,0.34571,0.33393,0.33032,0.15774,1.88947,1.28867,1.52743,0,0.0092575,0.0092575,0.0092575,0.0092575
17,2068.09,0.94952,0.57326,0.94343,0.01041,0.34743,0.33273,0.33229,0.15618,1.90049,1.28877,1.53561,0,0.009208,0.009208,0.009208,0.009208
18,2189.43,0.93193,0.55278,0.93403,0.01049,0.33697,0.3265,0.32318,0.15274,1.91657,1.37963,1.53788,0,0.0091585,0.0091585,0.0091585,0.0091585
19,2310.9,0.89893,0.52849,0.92496,0.00963,0.34824,0.32158,0.32322,0.15486,1.89913,1.36157,1.55666,0,0.009109,0.009109,0.009109,0.009109
20,2432.28,0.87669,0.50901,0.91398,0.01001,0.34081,0.32488,0.32451,0.15651,1.89491,1.40329,1.54729,0,0.0090595,0.0090595,0.0090595,0.0090595
21,2553.67,0.84882,0.49287,0.9055,0.00969,0.33202,0.34462,0.32272,0.15496,1.89286,1.35119,1.56169,0,0.00901,0.00901,0.00901,0.00901
22,2675.05,0.83167,0.48166,0.90012,0.00988,0.32119,0.34407,0.32471,0.15688,1.89188,1.38869,1.55864,0,0.0089605,0.0089605,0.0089605,0.0089605
23,2796.46,0.80728,0.46269,0.89117,0.0096,0.37935,0.31738,0.32306,0.1567,1.89004,1.41405,1.55784,0,0.008911,0.008911,0.008911,0.008911
24,2917.96,0.79069,0.45207,0.88642,0.00945,0.34656,0.31288,0.31663,0.15349,1.89309,1.42574,1.57657,0,0.0088615,0.0088615,0.0088615,0.0088615
25,3039.34,0.76727,0.44132,0.879,0.0093,0.34391,0.31833,0.31987,0.15572,1.89526,1.43383,1.57301,0,0.008812,0.008812,0.008812,0.008812
