epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.7163,2.76604,2.47793,1.8817,0.3026,0.3056,0.29605,0.12512,1.95177,1.51836,1.43293,0.00332538,0.00332538,0.00332538
2,125.889,2.00625,1.46279,1.3061,0.83538,0.34369,0.33284,0.15482,1.83532,1.2847,1.30524,0.00662575,0.00662575,0.00662575
3,187.929,1.9486,1.38468,1.25672,0.81133,0.31456,0.31053,0.11819,2.07752,1.34363,1.40092,0.00989312,0.00989312,0.00989312
4,249.872,1.90382,1.29264,1.23525,0.84246,0.3635,0.34944,0.16792,1.76166,1.17987,1.27447,0.0098515,0.0098515,0.0098515
5,311.792,1.83906,1.21375,1.20302,0.83978,0.35696,0.34371,0.15189,1.90347,1.1749,1.33148,0.009802,0.009802,0.009802
6,373.638,1.79099,1.17397,1.19385,0.85538,0.35738,0.35864,0.17283,1.78402,1.12031,1.27469,0.0097525,0.0097525,0.0097525
7,435.42,1.75471,1.14507,1.17624,0.85088,0.371,0.36052,0.17336,1.77765,1.09588,1.27307,0.009703,0.009703,0.009703
8,497.383,1.7316,1.10179,1.16904,0.84837,0.36764,0.35806,0.17062,1.81052,1.10194,1.30341,0.0096535,0.0096535,0.0096535
9,559.263,1.70619,1.08962,1.15385,0.84817,0.37322,0.36208,0.17878,1.71187,1.08799,1.24427,0.009604,0.009604,0.009604
10,621.202,1.68994,1.0751,1.15145,0.85575,0.37005,0.36494,0.17526,1.76709,1.06417,1.27646,0.0095545,0.0095545,0.0095545
11,683.103,1.65913,1.05223,1.13815,0.85808,0.37729,0.36802,0.17711,1.76052,1.03902,1.27386,0.009505,0.009505,0.009505
12,745.019,1.64289,1.03313,1.13178,0.85279,0.37939,0.36566,0.17873,1.747,1.04943,1.27851,0.0094555,0.0094555,0.0094555
13,807.033,1.63296,1.02391,1.13403,0.84921,0.38485,0.36995,0.17984,1.74343,1.01241,1.26495,0.009406,0.009406,0.009406
14,869.089,1.6122,1.00653,1.12339,0.8528,0.37932,0.3636,0.17639,1.75496,1.03817,1.27161,0.0093565,0.0093565,0.0093565
