epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/feat_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/feat_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,124.861,2.35104,2.30635,1.80971,0.06161,0.30653,0.29076,0.29016,0.12354,1.96028,1.47066,1.49905,0,0.00332538,0.00332538,0.00332538,0.00332538
2,246.829,1.8536,1.3813,1.36103,0.00819,0.83488,0.34377,0.32459,0.14347,1.89694,1.29821,1.4592,0,0.00662575,0.00662575,0.00662575,0.00662575
3,368.425,1.79701,1.3023,1.3167,0.00974,0.84441,0.33427,0.33971,0.1615,1.83733,1.28836,1.38016,0,0.00989312,0.00989312,0.00989312,0.00989312
4,490.007,1.72211,1.19301,1.28006,0.01248,0.84188,0.34827,0.33758,0.15355,1.88629,1.21032,1.47527,0,0.0098515,0.0098515,0.0098515,0.0098515
5,611.571,1.62203,1.08881,1.23443,0.01122,0.85252,0.35982,0.35555,0.17105,1.80173,1.13148,1.38725,0,0.009802,0.009802,0.009802,0.009802
6,733.415,1.52682,1.01355,1.19137,0.0112,0.84322,0.3524,0.33973,0.1599,1.81613,1.17439,1.40897,0,0.0097525,0.0097525,0.0097525,0.0097525
7,855.033,1.45242,0.9525,1.15797,0.01144,0.85004,0.35954,0.35435,0.16966,1.8114,1.1344,1.39465,0,0.009703,0.009703,0.009703,0.009703
8,976.462,1.3836,0.89385,1.1272,0.01085,0.84907,0.36023,0.35356,0.17013,1.80961,1.10864,1.40833,0,0.0096535,0.0096535,0.0096535,0.0096535
9,1097.86,1.32009,0.84801,1.09822,0.01125,0.85159,0.35049,0.34482,0.16416,1.84579,1.1555,1.44581,0,0.009604,0.009604,0.009604,0.009604
10,1219.31,1.26305,0.80297,1.07423,0.01276,0.84527,0.34783,0.34344,0.16475,1.84484,1.15371,1.45684,0,0.0095545,0.0095545,0.0095545,0.0095545
11,1340.75,1.19828,0.75542,1.04637,0.012,0.84234,0.34352,0.3373,0.16102,1.84495,1.16645,1.45257,0,0.009505,0.009505,0.009505,0.009505
12,1462.21,1.14655,0.71671,1.0245,0.0111,0.84581,0.35414,0.33576,0.15862,1.85933,1.15619,1.47984,0,0.0094555,0.0094555,0.0094555,0.0094555
13,1583.74,1.0966,0.67846,1.00316,0.01149,0.8508,0.33435,0.33305,0.15673,1.86494,1.25025,1.47611,0,0.009406,0.009406,0.009406,0.009406
14,1705.17,1.05237,0.64703,0.98556,0.01136,0.33769,0.33165,0.32813,0.15448,1.89286,1.30182,1.52009,0,0.0093565,0.0093565,0.0093565,0.0093565
15,1826.56,1.019,0.61398,0.96935,0.01202,0.84599,0.33849,0.33385,0.15696,1.88115,1.24647,1.51416,0,0.009307,0.009307,0.009307,0.009307
16,1948.03,0.9785,0.58491,0.95603,0.01076,0.33707,0.33531,0.32906,0.15568,1.90013,1.27816,1.52106,0,0.0092575,0.0092575,0.0092575,0.0092575
17,2069.5,0.94176,0.56055,0.94337,0.01081,0.33696,0.35194,0.3187,0.14936,1.91807,1.33551,1.54716,0,0.009208,0.009208,0.009208,0.009208
18,2190.94,0.9188,0.5412,0.93288,0.01143,0.34237,0.32644,0.32475,0.15425,1.89341,1.31176,1.53414,0,0.0091585,0.0091585,0.0091585,0.0091585
19,2312.31,0.88785,0.5168,0.92332,0.01181,0.35171,0.33629,0.32198,0.15406,1.90083,1.37423,1.56051,0,0.009109,0.009109,0.009109,0.009109
20,2433.74,0.86239,0.49817,0.91249,0.01103,0.33748,0.32442,0.32123,0.15359,1.91261,1.35834,1.56492,0,0.0090595,0.0090595,0.0090595,0.0090595
21,2555.07,0.83731,0.48089,0.90363,0.01062,0.39227,0.31165,0.31583,0.15063,1.92404,1.41746,1.58978,0,0.00901,0.00901,0.00901,0.00901
22,2676.46,0.82087,0.46998,0.89883,0.01063,0.35415,0.32153,0.31758,0.15156,1.90978,1.42973,1.57916,0,0.0089605,0.0089605,0.0089605,0.0089605
23,2797.85,0.79444,0.45244,0.89016,0.0107,0.33366,0.31036,0.31087,0.15029,1.90138,1.46885,1.55676,0,0.008911,0.008911,0.008911,0.008911
24,2919.28,0.78011,0.44156,0.88427,0.01017,0.33975,0.32362,0.32058,0.15479,1.89956,1.42435,1.59115,0,0.0088615,0.0088615,0.0088615,0.0088615
25,3040.72,0.75769,0.43107,0.87838,0.00985,0.3348,0.31636,0.31591,0.152,1.91138,1.47023,1.60345,0,0.008812,0.008812,0.008812,0.008812
26,3162.11,0.74514,0.41969,0.87286,0.01077,0.34223,0.32546,0.31375,0.15191,1.90885,1.46034,1.60365,0,0.0087625,0.0087625,0.0087625,0.0087625
27,3283.43,0.72506,0.41129,0.86738,0.00964,0.33745,0.31194,0.30651,0.14795,1.92666,1.60631,1.6251,0,0.008713,0.008713,0.008713,0.008713
28,3404.83,0.71192,0.40361,0.86372,0.00944,0.33891,0.30437,0.31188,0.15118,1.92267,1.48137,1.61677,0,0.0086635,0.0086635,0.0086635,0.0086635
29,3526.19,0.69989,0.39584,0.86011,0.00948,0.33533,0.30287,0.31116,0.15132,1.91977,1.52727,1.61697,0,0.008614,0.008614,0.008614,0.008614
30,3647.72,0.68516,0.38853,0.85561,0.01067,0.33713,0.30916,0.31542,0.15491,1.89837,1.4879,1.61191,0,0.0085645,0.0085645,0.0085645,0.0085645
31,3769.04,0.67331,0.38249,0.85162,0.00928,0.33045,0.33648,0.31589,0.15515,1.90685,1.48316,1.61201,0,0.008515,0.008515,0.008515,0.008515
32,3890.37,0.66353,0.37605,0.84877,0.00967,0.33106,0.3366,0.31532,0.15638,1.88656,1.48864,1.60376,0,0.0084655,0.0084655,0.0084655,0.0084655
33,4011.8,0.6485,0.36812,0.84646,0.00962,0.35445,0.30698,0.30975,0.15141,1.91859,1.54437,1.63149,0,0.008416,0.008416,0.008416,0.008416
34,4133.21,0.63731,0.36494,0.8427,0.00893,0.33475,0.31024,0.31261,0.15404,1.90878,1.48525,1.64629,0,0.0083665,0.0083665,0.0083665,0.0083665
35,4254.53,0.62681,0.35747,0.83911,0.0094,0.33857,0.32189,0.31486,0.15609,1.90791,1.51363,1.63308,0,0.008317,0.008317,0.008317,0.008317
36,4375.89,0.62392,0.35413,0.83757,0.0086,0.34063,0.31818,0.31548,0.15682,1.89668,1.50251,1.63564,0,0.0082675,0.0082675,0.0082675,0.0082675
37,4497.29,0.6046,0.34836,0.8352,0.00897,0.34863,0.31801,0.31148,0.15437,1.90904,1.58516,1.6255,0,0.008218,0.008218,0.008218,0.008218
38,4618.68,0.60187,0.34161,0.83227,0.00853,0.33711,0.29831,0.30832,0.15497,1.89303,1.58567,1.63953,0,0.0081685,0.0081685,0.0081685,0.0081685
39,4740.11,0.58964,0.33896,0.82916,0.00834,0.36427,0.29331,0.31293,0.15724,1.88793,1.57974,1.62984,0,0.008119,0.008119,0.008119,0.008119
40,4861.51,0.57977,0.33336,0.8269,0.00857,0.33856,0.29777,0.30975,0.15532,1.88787,1.58877,1.63392,0,0.0080695,0.0080695,0.0080695,0.0080695
41,4983.02,0.57281,0.33104,0.82711,0.0089,0.33916,0.31536,0.31209,0.15626,1.89119,1.5647,1.62382,0,0.00802,0.00802,0.00802,0.00802
42,5104.46,0.56482,0.32468,0.82392,0.00924,0.33811,0.31074,0.31025,0.15521,1.89247,1.56678,1.65547,0,0.0079705,0.0079705,0.0079705,0.0079705
43,5225.86,0.55898,0.32278,0.82201,0.00867,0.36785,0.28549,0.30757,0.15584,1.88722,1.62581,1.64062,0,0.007921,0.007921,0.007921,0.007921
44,5347.21,0.55138,0.31838,0.81994,0.00835,0.34642,0.32055,0.31039,0.15684,1.8867,1.59342,1.64118,0,0.0078715,0.0078715,0.0078715,0.0078715
45,5468.57,0.54448,0.31347,0.8183,0.00837,0.33233,0.30023,0.3103,0.15763,1.87868,1.57645,1.642,0,0.007822,0.007822,0.007822,0.007822
46,5589.97,0.53649,0.31369,0.81679,0.00863,0.3375,0.29741,0.30961,0.15728,1.88652,1.59942,1.63859,0,0.0077725,0.0077725,0.0077725,0.0077725
47,5711.34,0.53092,0.30789,0.81514,0.00825,0.3343,0.2963,0.30046,0.15165,1.90276,1.64629,1.67119,0,0.007723,0.007723,0.007723,0.007723
48,5832.75,0.52545,0.30801,0.81522,0.00781,0.33893,0.29611,0.30553,0.15519,1.88525,1.61589,1.65194,0,0.0076735,0.0076735,0.0076735,0.0076735
49,5954.26,0.51613,0.30538,0.81229,0.00796,0.32967,0.28613,0.2981,0.15177,1.87253,1.66971,1.63372,0,0.007624,0.007624,0.007624,0.007624
50,6075.66,0.51541,0.2975,0.81108,0.0084,0.34656,0.30044,0.30925,0.15821,1.87049,1.60446,1.65793,0,0.0075745,0.0075745,0.0075745,0.0075745
51,6197.06,0.5076,0.29464,0.80965,0.00776,0.35719,0.29696,0.30544,0.1557,1.87511,1.63449,1.65502,0,0.007525,0.007525,0.007525,0.007525
52,6318.5,0.50021,0.29433,0.80861,0.00816,0.34082,0.29213,0.30776,0.15705,1.87483,1.56363,1.65664,0,0.0074755,0.0074755,0.0074755,0.0074755
53,6440.02,0.49689,0.28917,0.80758,0.00799,0.33935,0.28685,0.30595,0.15744,1.86942,1.62047,1.65931,0,0.007426,0.007426,0.007426,0.007426
54,6561.41,0.48778,0.29032,0.80629,0.00787,0.3425,0.28571,0.30564,0.15652,1.86807,1.62188,1.64624,0,0.0073765,0.0073765,0.0073765,0.0073765
55,6682.81,0.48214,0.28637,0.80488,0.00763,0.34602,0.29413,0.30399,0.15711,1.86663,1.60916,1.6468,0,0.007327,0.007327,0.007327,0.007327
