imgsz,tier,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
960,near,1808,0.8357,0.0243,0.974,0.0051,5
960,mid,1931,0.4655,0.0231,0.9847,0.0054,5
960,far,328,0.0726,0.0223,0.9938,0.014,5
960,all,4067,0.5984,0.0171,0.9781,0.0046,5
