imgsz,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,4,0,nan,0.0,5
640,4,8,82,0.0268,0.0055,5
640,8,12,467,0.0861,0.0153,5
640,12,16,771,0.3097,0.0487,5
640,16,20,748,0.6043,0.0441,5
640,20,24,520,0.7869,0.0235,5
640,24,32,661,0.853,0.0073,5
640,32,48,540,0.8348,0.0138,5
640,48,64,216,0.7815,0.0368,5
640,64,96,61,0.9213,0.0408,5
640,96,inf,1,0.0,0.0,5
