imgsz,h50_phys_px,recall_near,recall_mid,recall_far,n_seeds
640,31.94,0.991,0.9846,0.6915,5
960,30.33,0.9913,0.9243,0.3774,5
1280,29.37,0.9886,0.7895,0.3122,5
1920,25.34,0.9643,0.511,0.0,5
