imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,n_seeds
640,0,8,0,nan,0.0,5
640,8,16,2,0.0,0.0,5
640,16,24,80,0.0275,0.0056,5
640,24,32,246,0.0455,0.0083,5
640,32,48,992,0.27,0.0431,5
640,48,64,939,0.6392,0.038,5
640,64,96,990,0.8331,0.0082,5
640,96,128,410,0.8346,0.0144,5
640,128,192,346,0.8017,0.0314,5
640,192,inf,62,0.9065,0.0402,5
