epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/feat_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/feat_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,124.341,2.35686,2.3097,1.83096,0.06214,0.81244,0.30665,0.30108,0.13476,1.90077,1.46092,1.52098,0,0.00332538,0.00332538,0.00332538,0.00332538
2,246.257,1.85484,1.38768,1.37171,0.00907,0.84678,0.33529,0.33561,0.14889,1.87452,1.27713,1.43872,0,0.00662575,0.00662575,0.00662575,0.00662575
3,367.944,1.79616,1.30506,1.32562,0.01009,0.84194,0.32872,0.33221,0.1542,1.83148,1.27967,1.4155,0,0.00989312,0.00989312,0.00989312,0.00989312
4,489.617,1.72555,1.19106,1.286,0.01025,0.8449,0.34674,0.34506,0.1643,1.79709,1.20272,1.41275,0,0.0098515,0.0098515,0.0098515,0.0098515
5,611.18,1.61793,1.08238,1.23639,0.01128,0.85286,0.35149,0.35584,0.16986,1.8118,1.14148,1.39947,0,0.009802,0.009802,0.009802,0.009802
6,732.801,1.53052,1.00823,1.19613,0.01087,0.84591,0.35438,0.34623,0.1668,1.77467,1.16961,1.37456,0,0.0097525,0.0097525,0.0097525,0.0097525
7,854.48,1.45147,0.94715,1.16038,0.01098,0.85542,0.34593,0.34917,0.16996,1.79676,1.17154,1.40693,0,0.009703,0.009703,0.009703,0.009703
8,975.948,1.37855,0.89025,1.12589,0.01076,0.84795,0.35798,0.34977,0.16405,1.85348,1.12536,1.45122,0,0.0096535,0.0096535,0.0096535,0.0096535
9,1097.41,1.31598,0.84409,1.09997,0.01078,0.85483,0.34461,0.35217,0.16812,1.83263,1.17315,1.43105,0,0.009604,0.009604,0.009604,0.009604
10,1218.93,1.25463,0.79614,1.07193,0.01103,0.84483,0.34911,0.34641,0.16344,1.84365,1.16074,1.44574,0,0.0095545,0.0095545,0.0095545,0.0095545
11,1340.48,1.1902,0.75465,1.04495,0.0112,0.85338,0.33807,0.33996,0.16144,1.8479,1.20293,1.45755,0,0.009505,0.009505,0.009505,0.009505
12,1461.96,1.1408,0.71325,1.02447,0.01135,0.84233,0.34959,0.33764,0.1618,1.84031,1.17873,1.46622,0,0.0094555,0.0094555,0.0094555,0.0094555
13,1583.41,1.09231,0.67763,1.00438,0.01176,0.34611,0.32955,0.3332,0.15796,1.86775,1.28365,1.48134,0,0.009406,0.009406,0.009406,0.009406
14,1704.89,1.0498,0.64345,0.98694,0.0108,0.34167,0.33765,0.32894,0.15528,1.88018,1.28836,1.51365,0,0.0093565,0.0093565,0.0093565,0.0093565
15,1826.31,1.0062,0.61051,0.96921,0.01143,0.34096,0.33105,0.33313,0.15953,1.86879,1.31559,1.50443,0,0.009307,0.009307,0.009307,0.009307
16,1947.88,0.96996,0.58159,0.9548,0.01081,0.34635,0.33243,0.33019,0.15631,1.88722,1.28681,1.52954,0,0.0092575,0.0092575,0.0092575,0.0092575
17,2069.49,0.93734,0.55905,0.9434,0.01222,0.33844,0.31876,0.31753,0.15003,1.89504,1.39012,1.55919,0,0.009208,0.009208,0.009208,0.009208
18,2190.9,0.90834,0.53324,0.93117,0.01011,0.34995,0.31702,0.3253,0.15404,1.89989,1.37235,1.55425,0,0.0091585,0.0091585,0.0091585,0.0091585
19,2312.31,0.88624,0.51289,0.92325,0.0103,0.33758,0.3287,0.32241,0.15625,1.87579,1.37749,1.55201,0,0.009109,0.009109,0.009109,0.009109
20,2433.72,0.86079,0.49479,0.91477,0.0111,0.33836,0.31008,0.31299,0.14838,1.91144,1.45098,1.57598,0,0.0090595,0.0090595,0.0090595,0.0090595
21,2555.12,0.83419,0.47686,0.90557,0.01041,0.34588,0.30486,0.31333,0.15093,1.89956,1.47716,1.58523,0,0.00901,0.00901,0.00901,0.00901
22,2676.45,0.81608,0.4634,0.89839,0.01075,0.33307,0.32747,0.318,0.1525,1.89851,1.4691,1.58238,0,0.0089605,0.0089605,0.0089605,0.0089605
23,2797.8,0.79256,0.44941,0.89137,0.01173,0.33868,0.29873,0.30738,0.1479,1.90232,1.54986,1.56999,0,0.008911,0.008911,0.008911,0.008911
24,2919.22,0.77746,0.44107,0.88514,0.01018,0.32698,0.32527,0.31543,0.15342,1.88428,1.49239,1.58725,0,0.0088615,0.0088615,0.0088615,0.0088615
25,3040.58,0.7548,0.4264,0.87829,0.01019,0.32698,0.3157,0.31127,0.15062,1.88932,1.48812,1.6008,0,0.008812,0.008812,0.008812,0.008812
26,3161.93,0.74405,0.41779,0.87367,0.00991,0.33394,0.30383,0.31056,0.151,1.90796,1.55172,1.59636,0,0.0087625,0.0087625,0.0087625,0.0087625
27,3283.35,0.72154,0.40859,0.86806,0.00999,0.36058,0.30516,0.31664,0.1558,1.89567,1.52435,1.60962,0,0.008713,0.008713,0.008713,0.008713
