tier,n_gt,full_ap_mean,full_ap_std,sahi_ap_mean,sahi_ap_std,delta_sahi_minus_full,n_seeds
near,2747,0.9481,0.0068,0.8852,0.0089,-0.0629,5
mid,1238,0.4683,0.0144,0.2696,0.0383,-0.1986,5
far,82,0.016,0.0109,0.0031,0.0012,-0.0128,5
all,4067,0.8485,0.0055,0.7823,0.0112,-0.0662,5
