tier,n_gt,full_ap_mean,full_ap_std,sahi_ap_mean,sahi_ap_std,delta_sahi_minus_full,n_seeds
near,2747,0.951,0.0027,0.8805,0.0085,-0.0705,3
mid,1238,0.4713,0.0139,0.2469,0.0197,-0.2244,3
far,82,0.02,0.0133,0.0032,0.0012,-0.0168,3
all,4067,0.8508,0.003,0.7756,0.0063,-0.0753,3
