tier,n_gt,full_ap_mean,full_ap_std,sahi_ap_mean,sahi_ap_std,delta_sahi_minus_full,n_seeds
near,2747,0.9482,0.0057,0.8955,0.0119,-0.0528,5
mid,1238,0.6798,0.0109,0.5622,0.0226,-0.1177,5
far,82,0.3006,0.0141,0.0953,0.0603,-0.2053,5
all,4067,0.8453,0.0054,0.7795,0.0111,-0.0658,5
