seed,cond,hf_ratio,mean_conf,hit
0,bicubic,0.19624,0.1116,0.667
0,burst,0.70776,0.0599,0.0
0,shuffle,0.72966,0.0552,0.0
1,bicubic,0.18172,0.0078,0.0
1,burst,0.72639,0.0399,0.0
1,shuffle,0.76994,0.0318,0.0
2,bicubic,0.17199,0.0912,0.0
2,burst,0.51159,0.1167,0.0
2,shuffle,0.7357,0.1027,0.0
3,bicubic,0.17444,0.0679,0.0
3,burst,0.66064,0.0545,0.0
3,shuffle,0.74852,0.0805,0.0
4,bicubic,0.17463,0.0729,0.0
4,burst,0.67016,0.0445,0.0
4,shuffle,0.76003,0.1102,0.0
5,bicubic,0.18897,0.0813,0.667
5,burst,0.5902,0.1437,0.333
5,shuffle,0.7233,0.0747,0.0
6,bicubic,0.18376,0.0808,0.333
6,burst,0.57679,0.0755,0.0
6,shuffle,0.72732,0.1405,0.0
7,bicubic,0.17127,0.0391,0.0
7,burst,0.55799,0.0386,0.0
7,shuffle,0.72013,0.1016,0.0
8,bicubic,0.18233,0.0676,0.0
8,burst,0.58322,0.1405,0.0
8,shuffle,0.67578,0.1291,0.0
9,bicubic,0.17917,0.0791,0.333
9,burst,0.58152,0.0778,0.0
9,shuffle,0.71828,0.0716,0.0
10,bicubic,0.20596,0.1065,0.0
10,burst,0.54574,0.1017,0.0
10,shuffle,0.76247,0.1794,0.0
11,bicubic,0.19344,0.1271,0.667
11,burst,0.65005,0.1488,0.667
11,shuffle,0.6291,0.0822,0.333
