model,stratum,n_gt,recall_mean,recall_std,prec_mean,prec_std,n_seeds
stock,near,2747,0.7181,0.0458,0.8368,0.0235,5
stock,mid,1238,0.2481,0.059,0.8273,0.0439,5
stock,far,82,0.0463,0.0264,1.0,0.0,5
stock,all,4067,0.5615,0.0489,0.8353,0.0256,5
nearfar,near,2747,0.6698,0.0155,0.8838,0.0073,5
nearfar,mid,1238,0.1551,0.0226,0.8855,0.0249,5
nearfar,far,82,0.0317,0.0185,1.0,0.0,5
nearfar,all,4067,0.5003,0.0101,0.8838,0.0076,5
distill,near,2747,0.5347,0.0233,0.8686,0.0183,5
distill,mid,1238,0.0409,0.0116,0.9458,0.0137,5
distill,far,82,0.0,0.0,nan,0.0,5
distill,all,4067,0.3736,0.0186,0.871,0.0173,5
distill_shuffle,near,2747,0.5726,0.0576,0.8638,0.0151,5
distill_shuffle,mid,1238,0.0561,0.0251,0.9573,0.053,5
distill_shuffle,far,82,0.0,0.0,nan,0.0,5
distill_shuffle,all,4067,0.4038,0.0453,0.8668,0.0146,5
distill_synth,near,2747,0.587,0.0352,0.8661,0.0088,5
distill_synth,mid,1238,0.048,0.0162,0.9746,0.0188,5
distill_synth,far,82,0.0024,0.0055,1.0,0.0,5
distill_synth,all,4067,0.4112,0.0285,0.8694,0.0091,5
nwd,near,2747,0.7772,0.0226,0.8305,0.0172,5
nwd,mid,1238,0.3312,0.0483,0.8463,0.0333,5
nwd,far,82,0.0341,0.0134,1.0,0.0,5
nwd,all,4067,0.6265,0.0263,0.833,0.0151,5
