model,stratum,n_gt,ap_mean,ap_std,n_seeds
stock,near,2747,0.7955,0.0028,3
stock,mid,1238,0.2377,0.0358,3
stock,far,82,0.0019,0.0003,3
stock,all,4067,0.7029,0.0122,3
nearonly,near,2747,0.2525,0.0292,3
nearonly,mid,1238,0.0,0.0,3
nearonly,far,82,0.0,0.0,3
nearonly,all,4067,0.1706,0.0197,3
nearfar,near,2747,0.7836,0.0055,3
nearfar,mid,1238,0.2359,0.0131,3
nearfar,far,82,0.0018,0.0,3
nearfar,all,4067,0.6906,0.0057,3
distill,near,2747,0.7411,0.0327,3
distill,mid,1238,0.0825,0.0243,3
distill,far,82,0.0,0.0,3
distill,all,4067,0.5899,0.0374,3
distill_shuffle,near,2747,0.7551,0.0309,3
distill_shuffle,mid,1238,0.1243,0.0096,3
distill_shuffle,far,82,0.0,0.0,3
distill_shuffle,all,4067,0.6228,0.0284,3
distill_synth,near,2747,0.7488,0.0438,3
distill_synth,mid,1238,0.0898,0.0506,3
distill_synth,far,82,0.0001,0.0001,3
distill_synth,all,4067,0.5999,0.0561,3
nwd,near,2747,0.8176,0.0071,3
nwd,mid,1238,0.2709,0.0205,3
nwd,far,82,0.0006,0.0003,3
nwd,all,4067,0.7297,0.0146,3
