model,pot_lo_px,pot_hi_px,n_gt,recall_mean,recall_std,n_seeds
stock,0,4,0,,,5
stock,4,8,0,,,5
stock,8,12,4,0.0,0.0,5
stock,12,16,78,0.0487,0.0249,5
stock,16,20,164,0.0671,0.0139,5
stock,20,24,303,0.1399,0.0445,5
stock,24,32,771,0.3292,0.0651,5
stock,32,48,1268,0.6309,0.0666,5
stock,48,64,661,0.803,0.0233,5
stock,64,96,540,0.7896,0.0238,5
stock,96,inf,278,0.7748,0.0364,5
nearfar,0,4,0,,,5
nearfar,4,8,0,,,5
nearfar,8,12,4,0.0,0.0,5
nearfar,12,16,78,0.0333,0.0174,5
nearfar,16,20,164,0.0415,0.017,5
nearfar,20,24,303,0.0693,0.0104,5
nearfar,24,32,771,0.213,0.0282,5
nearfar,32,48,1268,0.5774,0.0244,5
nearfar,48,64,661,0.7555,0.0162,5
nearfar,64,96,540,0.7533,0.0354,5
nearfar,96,inf,278,0.7252,0.0176,5
distill,0,4,0,,,5
distill,4,8,0,,,5
distill,8,12,4,0.0,0.0,5
distill,12,16,78,0.0,0.0,5
distill,16,20,164,0.0122,0.0055,5
distill,20,24,303,0.0178,0.0058,5
distill,24,32,771,0.056,0.0138,5
distill,32,48,1268,0.32,0.0263,5
distill,48,64,661,0.6635,0.0342,5
distill,64,96,540,0.7515,0.0213,5
distill,96,inf,278,0.7863,0.0155,5
distill_shuffle,0,4,0,,,5
distill_shuffle,4,8,0,,,5
distill_shuffle,8,12,4,0.0,0.0,5
distill_shuffle,12,16,78,0.0,0.0,5
distill_shuffle,16,20,164,0.0171,0.0118,5
distill_shuffle,20,24,303,0.0257,0.0139,5
distill_shuffle,24,32,771,0.0763,0.0287,5
distill_shuffle,32,48,1268,0.3729,0.064,5
distill_shuffle,48,64,661,0.7065,0.0618,5
distill_shuffle,64,96,540,0.7752,0.037,5
distill_shuffle,96,inf,278,0.7712,0.0357,5
distill_synth,0,4,0,,,5
distill_synth,4,8,0,,,5
distill_synth,8,12,4,0.0,0.0,5
distill_synth,12,16,78,0.0026,0.0051,5
distill_synth,16,20,164,0.0085,0.0062,5
distill_synth,20,24,303,0.0152,0.0045,5
distill_synth,24,32,771,0.0693,0.0221,5
distill_synth,32,48,1268,0.3826,0.0584,5
distill_synth,48,64,661,0.7325,0.0243,5
distill_synth,64,96,540,0.7896,0.0117,5
distill_synth,96,inf,278,0.7799,0.0095,5
nwd,0,4,0,,,5
nwd,4,8,0,,,5
nwd,8,12,4,0.0,0.0,5
nwd,12,16,78,0.0359,0.0126,5
nwd,16,20,164,0.0732,0.0172,5
nwd,20,24,303,0.1762,0.0345,5
nwd,24,32,771,0.447,0.054,5
nwd,32,48,1268,0.7101,0.034,5
nwd,48,64,661,0.8345,0.0161,5
nwd,64,96,540,0.837,0.0168,5
nwd,96,inf,278,0.8309,0.0169,5
