imgsz,h50_phys_px,h50_phys_px_minn,min_n,n_bins_used,recall_near,recall_mid,recall_far,n_seeds
640,52.69,52.69,100,6,0.8963,0.7069,0.178,5
960,45.88,45.88,100,6,0.8982,0.5418,0.0909,5
1280,42.13,42.13,100,6,0.8503,0.3916,0.1488,5
1920,39.18,39.18,100,6,0.763,0.1589,0.0,5
