conf,tag_a,imgsz_a,tag_b,imgsz_b,n_seeds,n_plant,h50_a,h50_b,delta,delta_lo,delta_hi,p_boot,ket_luan
0.25,nwd,2560,nwd,1920,5,988,42.57,39.18,3.4,2.17,4.25,0.0005,KHAC
0.001,nwd,2560,nwd,1920,5,988,19.24,19.17,0.06,-0.22,0.42,0.867,khong phan biet duoc
