conf,tag_a,imgsz_a,tag_b,imgsz_b,n_seeds,n_plant,h50_a,h50_b,delta,delta_lo,delta_hi,p_boot,ket_luan
0.25,nearfar,1920,nearfar,960,5,988,51.26,52.95,-1.69,-2.48,-0.96,0.0005,KHAC
0.001,nearfar,1920,nearfar,960,5,988,25.34,30.33,-4.99,-10.72,-2.43,0.0005,KHAC
