arm,n_train_frames,fraction,recall_near,std_near,recall_mid,std_mid,recall_far,std_far
scale025,837,0.25,0.9887,0.0033,0.8516,0.0383,0.435,0.0774
scale050,1674,0.50,0.9908,0.0029,0.8191,0.038,0.3902,0.0732
nearfar,3349,1.00,0.9893,0.0014,0.7903,0.0036,0.3171,0.0122
