tag,tier,n_box,n_seed,n_obs,n_plant,n_clip,recall,wilson_lo,wilson_hi,plantboot_lo,plantboot_hi,clipboot_lo,clipboot_hi
scale025,near,2747,5,13735,756,3,0.9884,0.9837,0.9918,0.9844,0.9920,0.9805,0.9964
scale025,mid,1238,5,6190,461,3,0.8271,0.8051,0.8472,0.7965,0.8575,0.7846,0.9063
scale025,far,82,5,410,66,2,0.4195,0.3187,0.5276,0.3171,0.5268,0.1927,0.8815
scale025,all,4067,5,20335,988,3,0.9279,0.9195,0.9354,0.9148,0.9401,0.8835,0.9687
nearfar,near,2747,5,13735,756,3,0.9886,0.9839,0.9920,0.9847,0.9921,0.9776,0.9954
nearfar,mid,1238,5,6190,461,3,0.7895,0.7659,0.8113,0.7546,0.8258,0.7478,0.8671
nearfar,far,82,5,410,66,2,0.3122,0.2222,0.4190,0.2092,0.4286,0.0764,0.7926
nearfar,all,4067,5,20335,988,3,0.9144,0.9054,0.9226,0.8986,0.9293,0.8676,0.9601
