imgsz,h50_phys_px,h50_phys_px_minn,min_n,n_bins_used,recall_near,recall_mid,recall_far,n_seeds
640,56.64,56.64,100,6,0.8814,0.6348,0.1505,5
960,49.75,49.75,100,6,0.8594,0.4593,0.0841,5
1280,47.11,47.11,100,6,0.7996,0.3003,0.122,5
1920,44.08,44.08,100,6,0.6952,0.1331,0.0,5
