corpus,test,n_seeds,full_ap_mean,sahi_ap_mean,diff,se,t,df,p
8K ha mau (tile 320),paired,5,0.106725,0.030733,-0.075991,0.015158,-5.013,4,0.0074
8K ha mau (tile 320),welch,5,0.106725,0.030733,-0.075992,0.021143,-3.594,4.78,0.0169
8K goc (tile 1280),paired,5,0.179573,0.163145,-0.016428,0.005501,-2.987,4,0.0405
8K goc (tile 1280),welch,5,0.179573,0.163145,-0.016428,0.040144,-0.409,7.94,0.6932
interaction,welch_on_deltas,5,,,0.059564,0.016125,3.694,5.04,0.0139
