stem,source_video,dist
image_0529,IMG_3934.MOV,0.7048
image_0530,IMG_3922.MOV,0.6561
image_0531,IMG_3913.MOV,0.6967
image_0534,IMG_3922.MOV,0.6967
image_0539,IMG_3922.MOV,0.729
image_0540,IMG_3922.MOV,0.7017
image_0542,IMG_3928.MOV,0.7234
image_0543,IMG_3922.MOV,0.6669
image_0544,IMG_3928.MOV,0.685
image_0545,IMG_3928.MOV,0.7201
image_0549,IMG_3944.MOV,0.7407
image_0553,IMG_3917.MOV,0.7708
image_0554,IMG_3922.MOV,0.7344
image_0556,IMG_3922.MOV,0.772
image_0557,IMG_3916.MOV,0.7709
image_0558,IMG_3916.MOV,0.748
image_0560,IMG_3922.MOV,0.7606
image_0562,IMG_3934.MOV,0.7879
image_0564,IMG_3928.MOV,0.7744
image_0565,IMG_3922.MOV,0.7813
image_0566,IMG_3924.MOV,0.776
image_0567,IMG_3922.MOV,0.7804
image_0568,IMG_3944.MOV,0.7922
image_0570,IMG_3922.MOV,0.7834
image_0572,IMG_3909.MOV,0.7768
image_0574,IMG_3928.MOV,0.7164
image_0577,IMG_3928.MOV,0.7129
image_0579,IMG_3928.MOV,0.8407
image_0580,IMG_3928.MOV,0.7933
image_0581,IMG_3928.MOV,0.7967
image_0582,IMG_3928.MOV,0.7568
image_0585,IMG_3933.MOV,0.8234
image_0586,IMG_3919.MOV,0.8555
image_0587,IMG_3936.MOV,0.8382
image_0588,IMG_3913.MOV,0.822
image_0589,IMG_3916.MOV,0.829
image_0590,IMG_3919.MOV,0.8202
image_0591,IMG_3933.MOV,0.8896
image_0595,IMG_3905.MOV,0.8311
image_0596,IMG_3913.MOV,0.7988
image_0597,IMG_3935.MOV,0.8166
image_0598,IMG_3938.MOV,0.8245
image_0600,IMG_3937.MOV,0.7886
image_0601,3902_1.mp4,0.8283
image_0606,IMG_3910.MOV,0.8218
image_0608,IMG_3934.MOV,0.8365
image_0609,IMG_3917.MOV,0.7935
image_0612,IMG_3909.MOV,0.7902
image_0613,IMG_3914.MOV,0.8
image_0614,IMG_3917.MOV,0.8115
image_0615,IMG_3935.MOV,0.7904
image_0617,IMG_3917.MOV,0.7652
image_0619,IMG_3935.MOV,0.809
image_0622,IMG_3914.MOV,0.7977
image_0623,IMG_3914.MOV,0.8547
image_0627,IMG_3934.MOV,0.8106
image_0628,IMG_3913.MOV,0.7935
image_0629,IMG_3913.MOV,0.766
image_0630,IMG_3917.MOV,0.8091
image_0631,IMG_3913.MOV,0.7832
image_0632,IMG_3934.MOV,0.7571
image_0633,IMG_3913.MOV,0.7872
image_0635,IMG_3934.MOV,0.7767
image_0636,IMG_3917.MOV,0.8573
image_0637,IMG_3934.MOV,0.7869
image_0638,IMG_3916.MOV,0.6531
image_0643,IMG_3916.MOV,0.7321
image_0644,IMG_3934.MOV,0.6756
image_0662,IMG_3921.MOV,0.421
image_0665,IMG_3913.MOV,0.4569
image_0666,IMG_3921.MOV,0.4859
image_0668,3902_1.mp4,0.7087
image_0672,IMG_3913.MOV,0.5479
image_0673,IMG_3916.MOV,0.4593
image_0674,IMG_3916.MOV,0.4679
image_0676,IMG_3916.MOV,0.4502
image_0677,IMG_3916.MOV,0.4291
image_0680,IMG_3934.MOV,0.5548
image_0685,IMG_3921.MOV,0.6513
image_0686,IMG_3913.MOV,0.5046
image_0687,IMG_3913.MOV,0.471
image_0688,IMG_3913.MOV,0.4192
image_0689,IMG_3913.MOV,0.4112
image_0690,IMG_3913.MOV,0.4173
image_0693,IMG_3917.MOV,0.7044
image_0694,IMG_3916.MOV,0.4858
image_0695,IMG_3921.MOV,0.5358
image_0696,IMG_3916.MOV,0.5416
image_0697,IMG_3916.MOV,0.5334
image_0699,IMG_3916.MOV,0.5487
image_0702,IMG_3916.MOV,0.6194
image_0703,IMG_3916.MOV,0.6027
image_0704,IMG_3916.MOV,0.5959
image_0705,IMG_3913.MOV,0.7107
image_0706,IMG_3913.MOV,0.6265
image_0709,IMG_3934.MOV,0.6721
image_0710,IMG_3937.MOV,0.782
image_0714,IMG_3938.MOV,0.7864
image_0715,IMG_3934.MOV,0.6629
image_0716,IMG_3917.MOV,0.7279
image_0717,IMG_3934.MOV,0.7018
image_0718,IMG_3934.MOV,0.7117
image_0719,IMG_3913.MOV,0.7082
image_0720,IMG_3916.MOV,0.645
image_0721,IMG_3934.MOV,0.5984
image_0722,IMG_3934.MOV,0.6558
image_0724,IMG_3913.MOV,0.6604
image_0725,IMG_3916.MOV,0.58
image_0727,IMG_3913.MOV,0.6934
image_0728,IMG_3913.MOV,0.6577
image_0731,IMG_3916.MOV,0.6655
image_0732,IMG_3916.MOV,0.5458
image_0733,IMG_3916.MOV,0.5263
image_0735,IMG_3916.MOV,0.4753
image_0736,IMG_3916.MOV,0.4924
image_0738,IMG_3934.MOV,0.7622
image_0739,IMG_3913.MOV,0.6755
image_0742,IMG_3913.MOV,0.5149
image_0744,IMG_3936.MOV,0.4222
image_0746,IMG_3913.MOV,0.432
image_0747,IMG_3913.MOV,0.5608
image_0749,IMG_3916.MOV,0.5195
image_0750,IMG_3916.MOV,0.5019
image_0751,IMG_3916.MOV,0.649
image_0752,IMG_3913.MOV,0.7226
image_0754,IMG_3913.MOV,0.5383
image_0756,IMG_3916.MOV,0.4501
image_0757,IMG_3921.MOV,0.458
image_0758,IMG_3916.MOV,0.5259
image_0759,IMG_3916.MOV,0.4505
image_0760,IMG_3934.MOV,0.691
image_0762,IMG_3909.MOV,0.5684
image_0763,IMG_3934.MOV,0.5598
image_0764,IMG_3934.MOV,0.5521
image_0765,IMG_3934.MOV,0.7735
image_0767,IMG_3916.MOV,0.5843
image_0768,IMG_3916.MOV,0.5699
image_0769,IMG_3916.MOV,0.5011
image_0770,IMG_3916.MOV,0.4965
image_0771,IMG_3921.MOV,0.4449
image_0774,IMG_3913.MOV,0.3938
image_0776,IMG_3916.MOV,0.3799
image_0779,IMG_3916.MOV,0.4811
image_0781,IMG_3921.MOV,0.4221
image_0782,IMG_3921.MOV,0.3797
image_0784,IMG_3913.MOV,0.4028
image_0785,IMG_3917.MOV,0.3704
image_0791,IMG_3913.MOV,0.4653
image_0792,IMG_3913.MOV,0.427
image_0793,IMG_3913.MOV,0.389
image_0794,IMG_3913.MOV,0.4018
image_0796,IMG_3921.MOV,0.3781
image_0797,IMG_3916.MOV,0.4049
image_0798,IMG_3921.MOV,0.3866
image_0799,IMG_3913.MOV,0.3854
image_0802,IMG_3916.MOV,0.5334
image_0803,IMG_3913.MOV,0.6304
image_0804,IMG_3916.MOV,0.4691
image_0805,IMG_3916.MOV,0.4124
image_0808,IMG_3921.MOV,0.4838
image_0809,IMG_3916.MOV,0.6192
image_0811,IMG_3916.MOV,0.5753
image_0812,IMG_3913.MOV,0.7386
image_0814,IMG_3921.MOV,0.5406
image_0816,IMG_3913.MOV,0.4682
image_0817,IMG_3916.MOV,0.5155
image_0819,IMG_3916.MOV,0.451
image_0821,IMG_3916.MOV,0.5332
image_0823,IMG_3913.MOV,0.4697
image_0827,IMG_3916.MOV,0.7337
image_0828,IMG_3937.MOV,0.7736
image_0829,IMG_3916.MOV,0.6891
image_0830,IMG_3934.MOV,0.7563
image_0831,IMG_3916.MOV,0.6277
image_0835,IMG_3934.MOV,0.7729
image_0836,IMG_3923.MOV,0.7419
image_0839,IMG_3916.MOV,0.7007
image_0840,IMG_3914.MOV,0.78
image_0841,IMG_3947.MOV,0.8225
image_0842,IMG_3934.MOV,0.7798
image_0843,IMG_3917.MOV,0.8252
image_0845,IMG_3937.MOV,0.7249
image_0847,IMG_3934.MOV,0.8074
image_0849,IMG_3917.MOV,0.8109
image_0850,IMG_3916.MOV,0.6163
image_0851,IMG_3913.MOV,0.4376
image_0852,IMG_3917.MOV,0.4514
image_0854,IMG_3921.MOV,0.4449
image_0858,IMG_3934.MOV,0.6474
image_0860,IMG_3913.MOV,0.8183
image_0862,IMG_3913.MOV,0.7555
image_0865,IMG_3917.MOV,0.7327
image_0866,IMG_3917.MOV,0.7792
image_0868,IMG_3932.MOV,0.7615
image_0869,IMG_3934.MOV,0.7299
image_0872,IMG_3916.MOV,0.7798
image_0873,IMG_3913.MOV,0.716
image_0874,IMG_3913.MOV,0.7232
image_0876,IMG_3936.MOV,0.6262
image_0877,IMG_3913.MOV,0.6651
image_0878,IMG_3934.MOV,0.5677
image_0879,IMG_3916.MOV,0.5434
image_0880,IMG_3916.MOV,0.6178
image_0883,IMG_3923.MOV,0.7265
image_0884,IMG_3934.MOV,0.609
image_0886,IMG_3917.MOV,0.7088
image_0888,IMG_3934.MOV,0.5693
image_0890,IMG_3934.MOV,0.687
image_0891,IMG_3934.MOV,0.6828
image_0893,IMG_3913.MOV,0.6603
image_0897,IMG_3934.MOV,0.6954
image_0899,IMG_3934.MOV,0.6963
image_0900,IMG_3934.MOV,0.6777
image_0901,IMG_3916.MOV,0.6747
image_0903,IMG_3934.MOV,0.6208
image_0904,IMG_3934.MOV,0.6623
image_0906,IMG_3934.MOV,0.5306
image_0908,IMG_3916.MOV,0.528
image_0910,IMG_3913.MOV,0.6069
image_0911,IMG_3934.MOV,0.5828
image_0912,IMG_3913.MOV,0.7174
image_0913,IMG_3914.MOV,0.8158
image_0914,IMG_3916.MOV,0.7032
image_0915,IMG_3932.MOV,0.7739
image_0916,IMG_3934.MOV,0.6359
image_0917,IMG_3917.MOV,0.7273
image_0918,IMG_3934.MOV,0.6521
image_0919,IMG_3917.MOV,0.7965
image_0920,IMG_3934.MOV,0.5525
image_0921,IMG_3913.MOV,0.5946
image_0922,IMG_3934.MOV,0.5271
image_0924,IMG_3934.MOV,0.6792
image_0926,IMG_3913.MOV,0.7054
image_0927,IMG_3916.MOV,0.5202
image_0928,IMG_3934.MOV,0.6042
image_0932,IMG_3934.MOV,0.5717
image_0933,IMG_3916.MOV,0.6149
image_0936,IMG_3934.MOV,0.708
image_0937,IMG_3934.MOV,0.7641
image_0941,IMG_3916.MOV,0.7305
image_0943,IMG_3934.MOV,0.6733
image_0948,IMG_3934.MOV,0.6659
image_0949,IMG_3917.MOV,0.7293
image_0950,IMG_3934.MOV,0.7151
image_0951,IMG_3934.MOV,0.7206
image_0954,IMG_3934.MOV,0.6522
image_0956,IMG_3934.MOV,0.733
image_0957,IMG_3934.MOV,0.8102
image_0959,IMG_3937.MOV,0.7595
image_0961,IMG_3921.MOV,0.7376
image_0965,IMG_3934.MOV,0.7473
image_0969,IMG_3934.MOV,0.7471
image_0970,IMG_3934.MOV,0.7481
image_0971,IMG_3919.MOV,0.7616
image_0972,IMG_3934.MOV,0.7411
image_0974,IMG_3934.MOV,0.7667
image_0978,IMG_3934.MOV,0.7151
image_0979,IMG_3916.MOV,0.747
image_0981,IMG_3913.MOV,0.7167
image_0984,IMG_3934.MOV,0.7359
image_0985,IMG_3934.MOV,0.7538
image_0986,IMG_3934.MOV,0.7474
image_0987,IMG_3913.MOV,0.7538
image_0988,IMG_3916.MOV,0.7186
image_0989,IMG_3928.MOV,0.6756
image_0990,IMG_3916.MOV,0.6473
image_0992,IMG_3920.MOV,0.664
image_0994,IMG_3916.MOV,0.7406
image_0995,IMG_3913.MOV,0.7157
image_0998,IMG_3934.MOV,0.6901
image_0999,IMG_3920.MOV,0.7758
image_1000,IMG_3928.MOV,0.6948
image_1001,IMG_3913.MOV,0.7315
image_1002,IMG_3928.MOV,0.6916
image_1003,IMG_3932.MOV,0.7344
image_1004,IMG_3934.MOV,0.7716
image_1007,IMG_3913.MOV,0.7398
image_1010,IMG_3934.MOV,0.6425
image_1011,IMG_3935.MOV,0.6213
image_1014,IMG_3913.MOV,0.5944
image_1015,IMG_3935.MOV,0.7723
image_1020,IMG_3916.MOV,0.4355
image_1022,IMG_3916.MOV,0.5873
image_1023,IMG_3913.MOV,0.552
image_1024,IMG_3909.MOV,0.786
image_1025,IMG_3916.MOV,0.5872
image_1026,IMG_3921.MOV,0.533
image_1028,IMG_3921.MOV,0.5095
image_1030,IMG_3921.MOV,0.6716
image_1031,IMG_3921.MOV,0.4588
image_1032,IMG_3917.MOV,0.4078
image_1034,IMG_3921.MOV,0.4798
image_1035,IMG_3938.MOV,0.6266
image_1036,IMG_3921.MOV,0.5269
image_1185,IMG_3921.MOV,0.7699
image_1186,IMG_3921.MOV,0.8235
image_1188,IMG_3913.MOV,0.8259
image_1191,IMG_3921.MOV,0.8145
image_1192,IMG_3937.MOV,0.8128
image_1193,IMG_3921.MOV,0.7713
image_1194,IMG_3913.MOV,0.8488
image_1200,IMG_3921.MOV,0.7937
image_1201,IMG_3934.MOV,0.8239
image_1202,IMG_3934.MOV,0.7623
image_1204,IMG_3921.MOV,0.8178
image_1205,IMG_3947.MOV,0.8167
image_1208,IMG_3934.MOV,0.7657
image_1211,IMG_3916.MOV,0.7861
image_1212,IMG_3947.MOV,0.8012
image_1214,IMG_3913.MOV,0.8146
image_1215,IMG_3935.MOV,0.8185
image_1216,IMG_3907.MOV,0.8394
image_1217,IMG_3921.MOV,0.8241
image_1220,IMG_3908.MOV,0.8
image_1222,IMG_3909.MOV,0.7869
image_1223,IMG_3921.MOV,0.8121
image_1225,IMG_3921.MOV,0.8105
image_1226,IMG_3921.MOV,0.8312
image_1227,IMG_3916.MOV,0.7998
image_1228,IMG_3925.MOV,0.8168
image_1231,IMG_3914.MOV,0.8379
image_1232,IMG_3935.MOV,0.844
image_1233,IMG_3934.MOV,0.8356
image_1236,IMG_3937.MOV,0.8062
image_1237,IMG_3921.MOV,0.8032
image_1238,IMG_3917.MOV,0.8301
image_1241,IMG_3923.MOV,0.8036
image_1242,IMG_3944.MOV,0.8372
image_1243,IMG_3916.MOV,0.8081
image_1245,IMG_3917.MOV,0.8259
image_1246,IMG_3914.MOV,0.8471
image_1248,IMG_3916.MOV,0.77
image_1249,IMG_3921.MOV,0.7893
image_1250,IMG_3934.MOV,0.79
image_1258,IMG_3916.MOV,0.8146
image_1260,IMG_3913.MOV,0.8235
image_1261,IMG_3944.MOV,0.8457
image_1263,IMG_3914.MOV,0.8015
image_1268,IMG_3908.MOV,0.8492
image_1269,IMG_3944.MOV,0.8491
image_1270,IMG_3934.MOV,0.8396
image_1271,3902_1.mp4,0.8087
image_1272,IMG_3934.MOV,0.8551
image_1273,IMG_3917.MOV,0.8628
image_1274,IMG_3933.MOV,0.8527
image_1276,IMG_3914.MOV,0.8217
image_1278,IMG_3928.MOV,0.8663
image_1279,IMG_3915.MOV,0.8346
image_1281,IMG_3914.MOV,0.808
image_1282,IMG_3923.MOV,0.8127
image_1283,IMG_3934.MOV,0.8346
image_1286,IMG_3935.MOV,0.799
image_1287,IMG_3914.MOV,0.854
image_1288,IMG_3944.MOV,0.8267
image_1289,IMG_3919.MOV,0.8153
image_1290,IMG_3944.MOV,0.825
image_1292,IMG_3917.MOV,0.8631
image_1293,IMG_3910.MOV,0.8228
image_1294,IMG_3938.MOV,0.7862
image_1296,IMG_3914.MOV,0.7994
image_1297,IMG_3935.MOV,0.7937
image_1298,IMG_3934.MOV,0.7883
image_1299,IMG_3934.MOV,0.7347
image_1301,IMG_3932.MOV,0.8367
image_1302,IMG_3916.MOV,0.7921
image_1303,IMG_3914.MOV,0.8268
image_1305,IMG_3917.MOV,0.8167
image_1306,3902_1.mp4,0.8387
image_1307,IMG_3917.MOV,0.8177
image_1308,IMG_3938.MOV,0.8141
image_1309,IMG_3933.MOV,0.8436
image_1310,IMG_3935.MOV,0.8194
image_1311,IMG_3935.MOV,0.8033
image_1312,IMG_3914.MOV,0.7801
image_1313,IMG_3934.MOV,0.789
image_1315,IMG_3935.MOV,0.8482
image_1431,IMG_3920.MOV,0.7918
image_1432,IMG_3916.MOV,0.7663
image_1437,IMG_3924.MOV,0.6655
image_1440,IMG_3934.MOV,0.7927
image_1441,IMG_3928.MOV,0.7595
image_1442,3902_1.mp4,0.7538
image_1443,IMG_3934.MOV,0.6646
image_1444,IMG_3934.MOV,0.7553
image_1445,IMG_3921.MOV,0.6661
image_1446,IMG_3917.MOV,0.7796
image_1447,IMG_3916.MOV,0.787
image_1448,IMG_3934.MOV,0.7213
image_1449,IMG_3921.MOV,0.6823
image_1450,IMG_3916.MOV,0.6857
image_1451,IMG_3934.MOV,0.7332
image_1460,IMG_3935.MOV,0.8096
image_1461,IMG_3925.MOV,0.8355
image_1464,IMG_3935.MOV,0.8501
image_1465,IMG_3914.MOV,0.8897
image_1466,IMG_3925.MOV,0.8395
image_1469,IMG_3935.MOV,0.8141
image_1472,IMG_3935.MOV,0.7779
image_1475,IMG_3925.MOV,0.7994
image_1476,IMG_3925.MOV,0.8099
image_1478,IMG_3925.MOV,0.8154
image_1491,IMG_3916.MOV,0.8025
image_1492,IMG_3938.MOV,0.8406
image_1497,IMG_3944.MOV,0.7749
image_1503,IMG_3934.MOV,0.8624
image_1504,IMG_3934.MOV,0.8324
image_1506,IMG_3944.MOV,0.8334
image_1508,IMG_3944.MOV,0.868
image_1509,IMG_3928.MOV,0.8789
image_1512,IMG_3928.MOV,0.8425
image_1545,IMG_3919.MOV,0.8619
image_1546,IMG_3928.MOV,0.8581
image_1549,IMG_3923.MOV,0.829
image_1550,IMG_3928.MOV,0.8449
image_1551,IMG_3944.MOV,0.8653
image_1553,IMG_3923.MOV,0.8178
image_1554,IMG_3935.MOV,0.8262
image_1555,IMG_3928.MOV,0.8643
image_1558,IMG_3944.MOV,0.8394
image_1559,IMG_3944.MOV,0.8027
image_1560,IMG_3928.MOV,0.8627
image_1561,IMG_3935.MOV,0.8965
image_1562,IMG_3923.MOV,0.8608
image_1563,IMG_3910.MOV,0.8148
image_1569,IMG_3938.MOV,0.8667
image_1632,IMG_3925.MOV,0.8219
image_1633,IMG_3925.MOV,0.8356
image_1634,IMG_3925.MOV,0.8092
image_1635,IMG_3935.MOV,0.8365
image_1642,IMG_3935.MOV,0.7672
image_1643,IMG_3935.MOV,0.7278
image_1644,IMG_3933.MOV,0.7437
image_1645,IMG_3933.MOV,0.7229
image_1646,IMG_3935.MOV,0.8184
image_1648,IMG_3935.MOV,0.764
image_1649,IMG_3935.MOV,0.8107
image_1650,IMG_3935.MOV,0.6751
image_1656,IMG_3935.MOV,0.7544
image_1657,IMG_3935.MOV,0.7243
image_1661,IMG_3935.MOV,0.6573
image_1664,IMG_3935.MOV,0.4875
image_1667,IMG_3925.MOV,0.832
image_1668,IMG_3917.MOV,0.8791
image_1669,IMG_3907.MOV,0.8847
image_1670,IMG_3935.MOV,0.8568
image_1674,IMG_3944.MOV,0.885
image_1675,IMG_3935.MOV,0.829
image_1676,IMG_3922.MOV,0.8444
image_1677,IMG_3928.MOV,0.7277
image_1679,IMG_3917.MOV,0.884
image_1681,IMG_3935.MOV,0.7844
image_1682,IMG_3925.MOV,0.8828
image_1684,IMG_3935.MOV,0.8067
image_1685,IMG_3935.MOV,0.8554
image_1687,IMG_3935.MOV,0.829
image_1690,IMG_3919.MOV,0.8115
image_1696,IMG_3910.MOV,0.8695
image_1697,IMG_3935.MOV,0.7691
image_1698,IMG_3935.MOV,0.8573
image_1702,IMG_3935.MOV,0.8543
image_1703,IMG_3935.MOV,0.8816
image_1704,IMG_3935.MOV,0.8069
image_1706,IMG_3925.MOV,0.8714
image_1707,IMG_3935.MOV,0.8699
image_1708,IMG_3932.MOV,0.8869
image_1710,IMG_3909.MOV,0.8975
image_1713,IMG_3935.MOV,0.8362
image_1715,IMG_3935.MOV,0.8327
image_1717,IMG_3935.MOV,0.7947
image_1718,IMG_3935.MOV,0.8284
image_1725,IMG_3935.MOV,0.7411
image_1726,IMG_3935.MOV,0.7061
image_1728,IMG_3935.MOV,0.8079
image_1730,IMG_3935.MOV,0.7106
image_1734,IMG_3935.MOV,0.7724
image_1735,IMG_3935.MOV,0.7615
image_1737,IMG_3935.MOV,0.7163
image_1738,IMG_3935.MOV,0.7095
image_1739,IMG_3935.MOV,0.685
image_1744,IMG_3935.MOV,0.7361
image_1746,IMG_3935.MOV,0.7368
image_1748,IMG_3935.MOV,0.7117
image_1750,IMG_3935.MOV,0.6489
image_1752,IMG_3935.MOV,0.6586
image_1756,IMG_3935.MOV,0.7373
image_1757,IMG_3935.MOV,0.677
image_1758,IMG_3935.MOV,0.7756
image_1759,IMG_3935.MOV,0.7265
image_1760,IMG_3935.MOV,0.7103
image_1761,IMG_3935.MOV,0.747
image_1766,IMG_3935.MOV,0.7356
image_1767,IMG_3935.MOV,0.6643
image_1768,IMG_3935.MOV,0.7452
image_1769,IMG_3935.MOV,0.7278
image_1770,IMG_3935.MOV,0.6957
image_1771,IMG_3935.MOV,0.7319
image_1772,IMG_3935.MOV,0.7006
image_1773,IMG_3935.MOV,0.6729
image_1797,IMG_3935.MOV,0.7745
image_1798,IMG_3935.MOV,0.7127
image_1799,IMG_3935.MOV,0.777
image_1800,IMG_3935.MOV,0.7279
image_1804,IMG_3935.MOV,0.6717
image_1805,IMG_3935.MOV,0.8255
image_1806,IMG_3935.MOV,0.7815
image_1807,IMG_3935.MOV,0.7446
image_1808,IMG_3935.MOV,0.6974
image_1809,IMG_3935.MOV,0.7567
image_1810,IMG_3935.MOV,0.8401
image_1811,IMG_3925.MOV,0.8952
image_1812,IMG_3935.MOV,0.8828
image_1814,IMG_3935.MOV,0.7721
image_1850,IMG_3932.MOV,0.7901
image_1851,IMG_3937.MOV,0.8339
image_1852,IMG_3934.MOV,0.6688
image_1855,IMG_3934.MOV,0.7428
image_1875,IMG_3928.MOV,0.4793
image_1876,IMG_3925.MOV,0.4888
image_1877,IMG_3916.MOV,0.5351
image_1879,IMG_3935.MOV,0.7315
image_1890,IMG_3928.MOV,0.5824
image_1902,IMG_3924.MOV,0.6592
image_1990,IMG_3936.MOV,0.3789
image_1991,IMG_3925.MOV,0.3878
image_2009,IMG_3913.MOV,0.7935
