stem,source_video,dist
image_0960,IMG_3934.MOV,0.6182
image_0962,IMG_3934.MOV,0.6656
image_0964,IMG_3934.MOV,0.6801
image_0967,IMG_3920.MOV,0.7961
image_0968,IMG_3934.MOV,0.7676
image_0973,IMG_3934.MOV,0.7692
image_0980,IMG_3934.MOV,0.6789
image_0991,3902_1.mp4,0.7288
image_0997,IMG_3934.MOV,0.6838
image_1006,IMG_3934.MOV,0.6584
image_1008,IMG_3934.MOV,0.6389
image_1012,IMG_3934.MOV,0.6144
image_1013,IMG_3913.MOV,0.5956
image_1017,IMG_3921.MOV,0.5525
image_1018,IMG_3917.MOV,0.5393
image_1019,IMG_3913.MOV,0.4731
image_1029,IMG_3921.MOV,0.4743
image_1187,IMG_3921.MOV,0.8012
image_1189,IMG_3921.MOV,0.7625
image_1198,IMG_3921.MOV,0.8112
image_1203,IMG_3934.MOV,0.7891
image_1207,IMG_3934.MOV,0.7738
image_1210,IMG_3934.MOV,0.7741
image_1218,IMG_3916.MOV,0.7672
image_1219,IMG_3934.MOV,0.7783
image_1224,IMG_3916.MOV,0.7842
image_1234,IMG_3916.MOV,0.7847
image_1240,IMG_3934.MOV,0.8156
image_1244,IMG_3934.MOV,0.7924
image_1247,IMG_3934.MOV,0.7725
image_1252,IMG_3917.MOV,0.7804
image_1256,IMG_3917.MOV,0.8216
image_1262,IMG_3934.MOV,0.8298
image_1265,IMG_3914.MOV,0.8302
image_1266,IMG_3944.MOV,0.8038
image_1267,IMG_3944.MOV,0.7863
image_1275,IMG_3934.MOV,0.7936
image_1277,IMG_3905.MOV,0.7747
image_1280,IMG_3934.MOV,0.799
image_1284,IMG_3913.MOV,0.837
image_1285,IMG_3944.MOV,0.8335
image_1291,IMG_3934.MOV,0.7978
image_1300,IMG_3916.MOV,0.713
image_1439,IMG_3934.MOV,0.7181
image_1459,IMG_3935.MOV,0.78
image_1462,IMG_3935.MOV,0.8511
image_1463,IMG_3935.MOV,0.8211
image_1470,IMG_3935.MOV,0.8104
image_1471,IMG_3917.MOV,0.8027
image_1473,IMG_3935.MOV,0.7875
image_1477,IMG_3925.MOV,0.7988
image_1479,IMG_3925.MOV,0.8138
image_1510,IMG_3921.MOV,0.8971
image_1543,IMG_3921.MOV,0.8425
image_1544,IMG_3938.MOV,0.8868
image_1547,IMG_3928.MOV,0.8513
image_1580,IMG_3935.MOV,0.6828
image_1581,IMG_3935.MOV,0.6965
image_1582,IMG_3935.MOV,0.709
image_1637,IMG_3935.MOV,0.7906
image_1638,IMG_3935.MOV,0.697
image_1640,IMG_3935.MOV,0.7334
image_1647,IMG_3935.MOV,0.7296
image_1651,IMG_3935.MOV,0.6692
image_1665,IMG_3935.MOV,0.777
image_1678,IMG_3925.MOV,0.8076
image_1680,IMG_3935.MOV,0.8133
image_1691,IMG_3947.MOV,0.897
image_1693,IMG_3925.MOV,0.8996
image_1694,IMG_3925.MOV,0.875
image_1695,IMG_3914.MOV,0.8876
image_1705,IMG_3935.MOV,0.8573
image_1709,IMG_3935.MOV,0.832
image_1711,IMG_3935.MOV,0.7981
image_1712,IMG_3935.MOV,0.8557
image_1714,IMG_3935.MOV,0.8348
image_1727,IMG_3935.MOV,0.6431
image_1729,IMG_3935.MOV,0.663
image_1731,IMG_3935.MOV,0.7067
image_1732,IMG_3935.MOV,0.6938
image_1733,IMG_3935.MOV,0.7056
image_1736,IMG_3935.MOV,0.7406
image_1741,IMG_3935.MOV,0.7254
image_1742,IMG_3935.MOV,0.7262
image_1751,IMG_3935.MOV,0.6782
image_1753,IMG_3935.MOV,0.6564
image_1755,IMG_3935.MOV,0.7278
image_1762,IMG_3935.MOV,0.7288
image_1764,IMG_3935.MOV,0.6999
image_1801,IMG_3935.MOV,0.7003
image_1802,IMG_3935.MOV,0.7412
image_1803,IMG_3935.MOV,0.697
image_1853,IMG_3934.MOV,0.6612
image_1854,IMG_3934.MOV,0.67
image_1874,IMG_3920.MOV,0.5468
image_1903,IMG_3928.MOV,0.6358
image_1912,3902_1.mp4,0.6106
image_0011,IMG_3928.MOV,0.7383
image_0015,IMG_3913.MOV,0.8275
image_0016,IMG_3921.MOV,0.7674
image_0017,IMG_3907.MOV,0.7613
image_0023,IMG_3921.MOV,0.6298
image_0031,3902_1.mp4,0.6079
image_0048,IMG_3917.MOV,0.776
image_0055,IMG_3935.MOV,0.7845
image_0075,IMG_3921.MOV,0.7594
image_0077,IMG_3928.MOV,0.7753
image_0081,IMG_3917.MOV,0.692
image_0089,IMG_3921.MOV,0.5775
image_0091,IMG_3921.MOV,0.5398
image_0095,IMG_3928.MOV,0.6628
image_0098,IMG_3928.MOV,0.6692
image_0102,IMG_3913.MOV,0.7219
image_0112,IMG_3909.MOV,0.6565
image_0114,IMG_3928.MOV,0.642
image_0115,IMG_3928.MOV,0.6316
image_0136,IMG_3922.MOV,0.844
image_0137,IMG_3925.MOV,0.7377
image_0159,IMG_3938.MOV,0.7186
image_0164,IMG_3924.MOV,0.7265
image_0166,IMG_3934.MOV,0.54
image_0172,IMG_3921.MOV,0.712
image_0174,IMG_3921.MOV,0.6169
image_0176,IMG_3917.MOV,0.7941
image_0183,IMG_3934.MOV,0.82
image_0191,IMG_3922.MOV,0.8079
image_0195,IMG_3924.MOV,0.7554
image_0206,IMG_3921.MOV,0.4459
image_0218,IMG_3914.MOV,0.8206
image_0222,IMG_3934.MOV,0.8375
image_0223,IMG_3916.MOV,0.7436
image_0231,IMG_3928.MOV,0.7324
image_0233,IMG_3934.MOV,0.5845
image_0257,IMG_3934.MOV,0.6501
image_0260,IMG_3917.MOV,0.7932
image_0264,IMG_3928.MOV,0.8142
image_0354,IMG_3914.MOV,0.8529
image_0355,IMG_3917.MOV,0.8505
image_0358,IMG_3935.MOV,0.8017
image_0362,IMG_3916.MOV,0.5594
image_0365,IMG_3921.MOV,0.4719
image_0378,IMG_3917.MOV,0.8472
image_0379,IMG_3936.MOV,0.8544
image_0387,IMG_3934.MOV,0.6534
image_0396,IMG_3921.MOV,0.367
image_0403,IMG_3916.MOV,0.4212
image_0421,IMG_3917.MOV,0.7305
image_0438,IMG_3924.MOV,0.8052
image_0440,IMG_3917.MOV,0.8263
image_0442,IMG_3936.MOV,0.8236
image_0482,IMG_3928.MOV,0.7951
image_0492,IMG_3936.MOV,0.7515
image_0496,IMG_3924.MOV,0.764
image_0497,IMG_3913.MOV,0.7818
image_0503,IMG_3920.MOV,0.7334
image_0504,IMG_3922.MOV,0.7361
image_0507,IMG_3920.MOV,0.7138
image_0513,IMG_3913.MOV,0.7339
image_0516,IMG_3917.MOV,0.7671
image_0517,IMG_3934.MOV,0.7344
image_0521,IMG_3934.MOV,0.7135
image_0524,IMG_3920.MOV,0.7361
image_0536,IMG_3916.MOV,0.6038
image_0537,IMG_3934.MOV,0.6789
image_0538,IMG_3913.MOV,0.7411
image_0541,IMG_3922.MOV,0.678
image_0546,IMG_3928.MOV,0.6333
image_0550,IMG_3934.MOV,0.756
image_0551,IMG_3934.MOV,0.7555
image_0555,IMG_3925.MOV,0.7379
image_0561,IMG_3922.MOV,0.7596
image_0563,IMG_3928.MOV,0.7763
image_0569,IMG_3925.MOV,0.8207
image_0571,IMG_3922.MOV,0.7504
image_0573,IMG_3928.MOV,0.7268
image_0575,IMG_3928.MOV,0.6846
image_0576,IMG_3928.MOV,0.6706
image_0578,IMG_3928.MOV,0.7646
image_0583,IMG_3928.MOV,0.739
image_0584,IMG_3915.MOV,0.7882
image_0594,IMG_3909.MOV,0.8224
image_0602,IMG_3913.MOV,0.8024
image_0604,IMG_3913.MOV,0.8064
image_0605,IMG_3913.MOV,0.8012
image_0607,IMG_3909.MOV,0.8017
image_0611,IMG_3934.MOV,0.7675
image_0616,IMG_3934.MOV,0.7922
image_0621,IMG_3915.MOV,0.827
image_0624,IMG_3937.MOV,0.84
image_0626,IMG_3917.MOV,0.8003
