dataset,area_pct,cdf
CornHorizon,6.59319,0.99926
CornHorizon,6.90551,0.99926
CornHorizon,7.23263,0.99926
CornHorizon,7.57525,0.99926
CornHorizon,7.9341,0.99926
CornHorizon,8.30994,0.99926
CornHorizon,8.70359,0.99926
CornHorizon,9.11589,0.99926
CornHorizon,9.54772,0.99926
CornHorizon,10.0,0.99926
