epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/feat_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/feat_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
36,4373.08,0.62164,0.35581,0.83711,0.00816,0.33262,0.3094,0.3107,0.15542,1.87684,1.54427,1.62116,0,0.0082675,0.0082675,0.0082675,0.0082675
37,4494.39,0.6123,0.3506,0.83491,0.00805,0.34088,0.29924,0.30931,0.15499,1.87783,1.52154,1.61736,0,0.008218,0.008218,0.008218,0.008218
38,4615.68,0.60334,0.34541,0.83183,0.0082,0.33463,0.30401,0.30927,0.15498,1.8767,1.54882,1.62682,0,0.0081685,0.0081685,0.0081685,0.0081685
39,4737.03,0.59479,0.34188,0.83076,0.00847,0.33178,0.30023,0.30859,0.15538,1.8724,1.52513,1.61068,0,0.008119,0.008119,0.008119,0.008119
40,4858.38,0.58249,0.33607,0.82666,0.00804,0.33849,0.30413,0.31212,0.15722,1.87311,1.52866,1.60927,0,0.0080695,0.0080695,0.0080695,0.0080695
41,4979.73,0.57948,0.33296,0.8268,0.00805,0.34602,0.29051,0.30838,0.1551,1.87423,1.57084,1.63972,0,0.00802,0.00802,0.00802,0.00802
42,5101.02,0.5704,0.32924,0.82389,0.00787,0.3276,0.30437,0.30742,0.15488,1.87732,1.57121,1.63039,0,0.0079705,0.0079705,0.0079705,0.0079705
43,5222.32,0.56314,0.32716,0.82202,0.00777,0.36072,0.28508,0.30329,0.15157,1.89036,1.62611,1.6325,0,0.007921,0.007921,0.007921,0.007921
44,5343.59,0.55243,0.32215,0.82042,0.00755,0.34759,0.30067,0.31165,0.15939,1.87451,1.60174,1.63711,0,0.0078715,0.0078715,0.0078715,0.0078715
45,5464.93,0.54824,0.31738,0.81904,0.00786,0.33919,0.29309,0.30947,0.15715,1.87083,1.57388,1.63064,0,0.007822,0.007822,0.007822,0.007822
46,5586.21,0.5385,0.31511,0.81712,0.00727,0.33176,0.30856,0.31324,0.15932,1.86335,1.54413,1.63686,0,0.0077725,0.0077725,0.0077725,0.0077725
47,5707.49,0.53518,0.31346,0.81646,0.00751,0.33599,0.295,0.30554,0.15608,1.86521,1.6024,1.62517,0,0.007723,0.007723,0.007723,0.007723
48,5828.84,0.52952,0.30531,0.81387,0.00771,0.34758,0.29389,0.31239,0.1588,1.8657,1.56106,1.6375,0,0.0076735,0.0076735,0.0076735,0.0076735
49,5950.13,0.5212,0.303,0.81208,0.00722,0.33947,0.29867,0.31207,0.1591,1.86523,1.57813,1.63737,0,0.007624,0.007624,0.007624,0.007624
50,6071.39,0.51426,0.30269,0.81093,0.00748,0.33996,0.30638,0.30733,0.15712,1.86504,1.59865,1.64214,0,0.0075745,0.0075745,0.0075745,0.0075745
51,6192.68,0.50573,0.29927,0.80965,0.00757,0.34316,0.29392,0.31046,0.15854,1.86876,1.55668,1.64911,0,0.007525,0.007525,0.007525,0.007525
52,6314.05,0.50258,0.29697,0.80883,0.00718,0.33837,0.2884,0.30863,0.15793,1.86337,1.60023,1.6402,0,0.0074755,0.0074755,0.0074755,0.0074755
53,6435.47,0.49945,0.29372,0.80816,0.0072,0.33432,0.29015,0.30849,0.15781,1.85701,1.59256,1.63978,0,0.007426,0.007426,0.007426,0.007426
54,6556.82,0.49416,0.29231,0.80692,0.00725,0.34643,0.29237,0.31244,0.15981,1.85591,1.56807,1.65022,0,0.0073765,0.0073765,0.0073765,0.0073765
55,6678.15,0.48794,0.28747,0.80491,0.00734,0.36146,0.28603,0.30836,0.15854,1.85168,1.61394,1.64125,0,0.007327,0.007327,0.007327,0.007327
56,6799.44,0.48252,0.28632,0.80469,0.00709,0.33933,0.28673,0.30669,0.15735,1.8622,1.60801,1.65545,0,0.0072775,0.0072775,0.0072775,0.0072775
57,6920.8,0.47813,0.28368,0.80336,0.00736,0.34292,0.28724,0.3104,0.15982,1.85453,1.58865,1.64523,0,0.007228,0.007228,0.007228,0.007228
58,7042.11,0.47073,0.2818,0.80212,0.0073,0.35744,0.29164,0.30795,0.15913,1.85113,1.60998,1.64047,0,0.0071785,0.0071785,0.0071785,0.0071785
