epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/feat_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/feat_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,129.817,2.34641,2.29966,1.82086,0.07037,0.81161,0.30293,0.29426,0.13156,1.89343,1.46571,1.53378,0,0.00332538,0.00332538,0.00332538,0.00332538
2,257.287,1.84634,1.38752,1.37053,0.01365,0.8458,0.34821,0.33514,0.15059,1.88431,1.3092,1.45377,0,0.00662575,0.00662575,0.00662575,0.00662575
3,384.409,1.80191,1.29207,1.33125,0.01837,0.8014,0.37136,0.30739,0.13332,1.88008,1.32064,1.47964,0,0.00989312,0.00989312,0.00989312,0.00989312
4,511.533,1.71607,1.19637,1.28713,0.02245,0.8357,0.35181,0.34174,0.1572,1.85433,1.2203,1.45726,0,0.0098515,0.0098515,0.0098515,0.0098515
5,638.57,1.61711,1.07943,1.23761,0.0171,0.84756,0.3607,0.34634,0.16592,1.80716,1.14084,1.43014,0,0.009802,0.009802,0.009802,0.009802
6,765.832,1.53035,1.01242,1.19779,0.01585,0.84878,0.34341,0.33883,0.15952,1.86492,1.21525,1.45548,0,0.0097525,0.0097525,0.0097525,0.0097525
7,893.028,1.45597,0.95333,1.16406,0.01649,0.84593,0.35774,0.35068,0.16909,1.82027,1.1542,1.42478,0,0.009703,0.009703,0.009703,0.009703
8,1019.94,1.38361,0.88878,1.12906,0.01747,0.84735,0.35715,0.34789,0.1647,1.83805,1.11507,1.44524,0,0.0096535,0.0096535,0.0096535,0.0096535
9,1146.93,1.31833,0.84751,1.10246,0.01742,0.85259,0.34327,0.34277,0.16298,1.85298,1.19217,1.45924,0,0.009604,0.009604,0.009604,0.009604
10,1273.84,1.258,0.79673,1.07542,0.01437,0.84868,0.35504,0.34603,0.16642,1.82577,1.12567,1.43748,0,0.0095545,0.0095545,0.0095545,0.0095545
11,1400.75,1.19672,0.75603,1.0486,0.01348,0.84402,0.34545,0.33624,0.16138,1.84625,1.20628,1.47662,0,0.009505,0.009505,0.009505,0.009505
