epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/feat_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/feat_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,124.315,2.46734,2.53923,1.93939,0.06561,0.28393,0.27786,0.26966,0.11632,1.95579,1.60833,1.53757,0,0.00332538,0.00332538,0.00332538,0.00332538
2,246.256,1.8647,1.42837,1.3848,0.01132,0.83197,0.32429,0.31922,0.14047,1.96808,1.37396,1.5055,0,0.00662575,0.00662575,0.00662575,0.00662575
3,367.945,1.80962,1.33664,1.33414,0.01352,0.82418,0.33663,0.3214,0.13636,1.88928,1.36148,1.48026,0,0.00989312,0.00989312,0.00989312,0.00989312
4,489.494,1.73744,1.20852,1.29674,0.01742,0.84653,0.33399,0.34398,0.15667,1.87627,1.21825,1.42624,0,0.0098515,0.0098515,0.0098515,0.0098515
5,610.974,1.63743,1.1115,1.24646,0.01479,0.84515,0.3614,0.34864,0.16678,1.81017,1.1677,1.40265,0,0.009802,0.009802,0.009802,0.009802
6,732.517,1.54596,1.03872,1.19903,0.01249,0.84953,0.34329,0.34726,0.16924,1.77998,1.20507,1.36256,0,0.0097525,0.0097525,0.0097525,0.0097525
7,854.144,1.4765,0.97569,1.16722,0.01286,0.84808,0.35025,0.34686,0.16483,1.84287,1.17082,1.44034,0,0.009703,0.009703,0.009703,0.009703
8,975.613,1.40306,0.91665,1.13176,0.01199,0.85241,0.34893,0.35065,0.16961,1.80949,1.14989,1.4164,0,0.0096535,0.0096535,0.0096535,0.0096535
9,1097.07,1.34228,0.87121,1.10646,0.01256,0.85398,0.34485,0.34395,0.16428,1.83511,1.18416,1.44253,0,0.009604,0.009604,0.009604,0.009604
10,1218.51,1.27822,0.82522,1.079,0.01326,0.8479,0.33719,0.33795,0.15954,1.84314,1.20361,1.44069,0,0.0095545,0.0095545,0.0095545,0.0095545
11,1339.94,1.22469,0.78227,1.05393,0.01281,0.84373,0.34353,0.33598,0.16045,1.83957,1.2119,1.4521,0,0.009505,0.009505,0.009505,0.009505
12,1461.37,1.16354,0.73981,1.03092,0.01318,0.84318,0.33477,0.32935,0.15612,1.85159,1.22999,1.48486,0,0.0094555,0.0094555,0.0094555,0.0094555
13,1582.81,1.11678,0.70313,1.0103,0.01179,0.83936,0.33576,0.32743,0.15653,1.86062,1.25363,1.47523,0,0.009406,0.009406,0.009406,0.009406
14,1704.23,1.07798,0.66955,0.99559,0.01161,0.33925,0.33321,0.32525,0.15486,1.86917,1.27462,1.49069,0,0.0093565,0.0093565,0.0093565,0.0093565
15,1825.63,1.03649,0.63703,0.97596,0.01183,0.84703,0.33561,0.33483,0.16164,1.85527,1.26762,1.49899,0,0.009307,0.009307,0.009307,0.009307
16,1947.01,0.99094,0.60529,0.96031,0.01189,0.84191,0.33105,0.32523,0.1558,1.87676,1.26508,1.52442,0,0.0092575,0.0092575,0.0092575,0.0092575
17,2068.37,0.96509,0.58135,0.94718,0.01231,0.34281,0.32136,0.32359,0.15393,1.89367,1.35159,1.52702,0,0.009208,0.009208,0.009208,0.009208
18,2189.67,0.92649,0.55428,0.93647,0.01215,0.33669,0.32014,0.318,0.15252,1.8794,1.37966,1.5376,0,0.0091585,0.0091585,0.0091585,0.0091585
19,2310.99,0.90591,0.53293,0.92676,0.01199,0.34155,0.32242,0.31836,0.15261,1.88242,1.36523,1.54944,0,0.009109,0.009109,0.009109,0.009109
20,2432.3,0.88165,0.51331,0.91816,0.01186,0.3352,0.3268,0.3183,0.15411,1.88754,1.39918,1.54382,0,0.0090595,0.0090595,0.0090595,0.0090595
21,2553.59,0.85563,0.49599,0.90842,0.01086,0.33056,0.32056,0.31506,0.15025,1.90652,1.42243,1.581,0,0.00901,0.00901,0.00901,0.00901
