epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,153.574,1.9894,1.38772,1.4478,0.45423,0.44394,0.41147,0.16456,2.03974,1.58315,1.6263,0.00132868,0.00132868,0.00132868
43,157.184,1.97647,1.39974,1.46078,0.45317,0.43636,0.40111,0.14904,2.12775,1.58975,1.71628,0.00132043,0.00132043,0.00132043
44,160.694,1.95674,1.32722,1.41639,0.45912,0.48876,0.44253,0.17375,2.01349,1.52089,1.6357,0.00131218,0.00131218,0.00131218
45,164.31,1.98086,1.3765,1.47286,0.54192,0.48652,0.45662,0.18553,1.98708,1.49164,1.61979,0.00130393,0.00130393,0.00130393
46,167.973,1.95631,1.30441,1.42628,0.58467,0.47217,0.45548,0.18004,2.02622,1.48737,1.65671,0.00129568,0.00129568,0.00129568
47,171.575,1.94967,1.34978,1.46264,0.55454,0.44973,0.43349,0.1691,2.02898,1.50398,1.66373,0.00128742,0.00128742,0.00128742
48,175.184,1.97594,1.31402,1.44257,0.51217,0.45774,0.44194,0.1799,1.9745,1.47777,1.61216,0.00127917,0.00127917,0.00127917
49,178.824,1.95476,1.30405,1.40991,0.44242,0.45455,0.44324,0.17207,2.09761,1.51242,1.69966,0.00127092,0.00127092,0.00127092
50,182.44,1.9322,1.26576,1.39952,0.45992,0.40572,0.42696,0.17939,2.03263,1.5989,1.63648,0.00126267,0.00126267,0.00126267
51,186.065,1.97927,1.29665,1.41561,0.4408,0.44027,0.40234,0.17052,2.03231,1.60741,1.6378,0.00125442,0.00125442,0.00125442
52,189.675,1.938,1.29346,1.4298,0.49203,0.45015,0.45603,0.19439,1.9973,1.54089,1.62001,0.00124617,0.00124617,0.00124617
53,193.323,1.95262,1.29889,1.44268,0.43345,0.44189,0.42015,0.17511,2.05252,1.55529,1.64422,0.00123791,0.00123791,0.00123791
54,196.911,1.92601,1.29706,1.41248,0.40454,0.47424,0.43238,0.17278,2.0454,1.4829,1.62406,0.00122966,0.00122966,0.00122966
55,200.489,1.9169,1.3045,1.43377,0.48504,0.49992,0.47532,0.18499,2.02281,1.45006,1.64116,0.00122141,0.00122141,0.00122141
56,204.125,1.93653,1.25954,1.40067,0.42619,0.47193,0.42763,0.16181,2.13298,1.52735,1.72001,0.00121316,0.00121316,0.00121316
57,207.733,1.91165,1.26276,1.4067,0.44511,0.43763,0.43072,0.17967,1.99913,1.56018,1.61186,0.00120491,0.00120491,0.00120491
58,211.337,1.96047,1.30397,1.43282,0.43029,0.4429,0.42792,0.17623,2.02097,1.54249,1.63197,0.00119666,0.00119666,0.00119666
59,214.929,1.96632,1.32359,1.4651,0.42741,0.47185,0.4494,0.17669,2.0534,1.50599,1.65302,0.0011884,0.0011884,0.0011884
60,218.53,1.93168,1.27079,1.42632,0.42049,0.46443,0.42581,0.1766,2.01036,1.51247,1.58829,0.00118015,0.00118015,0.00118015
