epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.8151,2.57542,2.26237,1.7252,0.31584,0.32506,0.31576,0.13742,1.92232,1.46259,1.40097,0.00332538,0.00332538,0.00332538
2,126.06,1.99067,1.43999,1.28074,0.84353,0.34389,0.33834,0.15238,1.89984,1.27353,1.3508,0.00662575,0.00662575,0.00662575
3,188.141,1.94463,1.3521,1.25291,0.8186,0.3539,0.32233,0.14239,1.91132,1.3176,1.35824,0.00989312,0.00989312,0.00989312
4,250.119,1.89645,1.28874,1.22961,0.84582,0.36077,0.34756,0.16058,1.82909,1.20657,1.3108,0.0098515,0.0098515,0.0098515
5,312.084,1.82763,1.19854,1.20064,0.84598,0.36338,0.34964,0.15671,1.88813,1.16337,1.3388,0.009802,0.009802,0.009802
6,374.036,1.78272,1.15507,1.19176,0.86302,0.34777,0.3554,0.17104,1.7654,1.14857,1.2729,0.0097525,0.0097525,0.0097525
7,435.881,1.74752,1.13005,1.17578,0.84912,0.37436,0.36394,0.17674,1.76294,1.10291,1.28451,0.009703,0.009703,0.009703
8,497.868,1.71909,1.09017,1.16697,0.85325,0.37639,0.36693,0.17751,1.76943,1.05536,1.28985,0.0096535,0.0096535,0.0096535
9,559.825,1.69112,1.07157,1.15101,0.85184,0.37513,0.36756,0.18121,1.72197,1.05974,1.25432,0.009604,0.009604,0.009604
10,621.856,1.68159,1.05835,1.14924,0.85049,0.37639,0.36942,0.18131,1.7403,1.05282,1.25998,0.0095545,0.0095545,0.0095545
11,683.826,1.64731,1.04061,1.13564,0.85053,0.36806,0.359,0.17011,1.81213,1.06684,1.30698,0.009505,0.009505,0.009505
12,745.822,1.63924,1.02303,1.13018,0.85201,0.38137,0.36871,0.17705,1.75706,1.05415,1.28044,0.0094555,0.0094555,0.0094555
13,807.861,1.6212,1.01344,1.12866,0.84901,0.38119,0.36785,0.17878,1.76059,1.02834,1.27641,0.009406,0.009406,0.009406
14,869.899,1.60489,0.99942,1.12162,0.8458,0.37603,0.36117,0.17365,1.75873,1.04919,1.28958,0.0093565,0.0093565,0.0093565
15,931.876,1.59235,0.99145,1.11267,0.86238,0.37395,0.37222,0.18185,1.7307,1.01607,1.25349,0.009307,0.009307,0.009307
16,993.766,1.57234,0.9795,1.11339,0.85361,0.37318,0.36394,0.17676,1.75509,1.03559,1.28103,0.0092575,0.0092575,0.0092575
17,1055.7,1.55932,0.97274,1.10597,0.85453,0.3743,0.37226,0.17712,1.77972,1.01744,1.29792,0.009208,0.009208,0.009208
18,1117.65,1.55781,0.96299,1.10296,0.85388,0.37939,0.37211,0.17828,1.76322,1.0062,1.29073,0.0091585,0.0091585,0.0091585
19,1179.54,1.54656,0.95953,1.10035,0.84692,0.37839,0.36724,0.17979,1.75233,1.01623,1.28013,0.009109,0.009109,0.009109
20,1241.51,1.52837,0.94041,1.0911,0.85289,0.37766,0.37006,0.17791,1.757,1.00723,1.29127,0.0090595,0.0090595,0.0090595
21,1303.5,1.51772,0.93332,1.09029,0.85623,0.36838,0.36857,0.17781,1.75751,1.01219,1.28038,0.00901,0.00901,0.00901
22,1365.45,1.5076,0.92891,1.08756,0.85142,0.374,0.37362,0.18376,1.76189,1.02409,1.28961,0.0089605,0.0089605,0.0089605
23,1427.39,1.49474,0.91504,1.08051,0.85724,0.36769,0.36963,0.18039,1.75929,1.03497,1.27292,0.008911,0.008911,0.008911
24,1489.4,1.48209,0.91109,1.07515,0.84781,0.37267,0.36353,0.17605,1.77051,1.01312,1.29389,0.0088615,0.0088615,0.0088615
25,1551.34,1.47696,0.90267,1.07539,0.84667,0.37448,0.35888,0.17031,1.78305,1.01961,1.29421,0.008812,0.008812,0.008812
26,1613.23,1.46728,0.89926,1.07139,0.85081,0.37328,0.36347,0.17474,1.77043,1.00886,1.29325,0.0087625,0.0087625,0.0087625
27,1675.22,1.45934,0.89331,1.06905,0.84699,0.3716,0.36165,0.17365,1.7857,1.01411,1.31374,0.008713,0.008713,0.008713
28,1737.24,1.45405,0.88706,1.06391,0.85141,0.37315,0.36241,0.17427,1.76768,0.99696,1.29323,0.0086635,0.0086635,0.0086635
29,1799.13,1.43809,0.87704,1.06276,0.84979,0.37358,0.36635,0.17801,1.77894,1.00731,1.30144,0.008614,0.008614,0.008614
30,1861.06,1.43155,0.87221,1.06116,0.85096,0.36932,0.3669,0.17595,1.79239,1.00205,1.31767,0.0085645,0.0085645,0.0085645
31,1923.01,1.42844,0.87224,1.05722,0.85232,0.37244,0.36455,0.17462,1.78762,0.99432,1.30055,0.008515,0.008515,0.008515
32,1985,1.4178,0.86029,1.05136,0.85076,0.37355,0.36704,0.17732,1.78529,0.99065,1.31286,0.0084655,0.0084655,0.0084655
