epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1909,1.96894,0.637,0.84624,0.02644,0.08453,0.01604,0.00452,1.77645,0.35562,0.74002,0.00038341,0.00038341,0.00038341
2,22.7,1.83268,0.25055,0.63621,0.57111,0.13477,0.05187,0.01358,1.40514,0.39868,0.52788,0.000779612,0.000779612,0.000779612
3,34.2527,1.91281,0.23943,0.62559,0.16562,0.16404,0.05794,0.01956,1.48889,0.41371,0.74192,0.00117185,0.00117185,0.00117185
4,45.755,1.69706,0.30427,0.67643,0.63806,0.13876,0.09866,0.03195,1.54188,0.42636,0.57814,0.00156013,0.00156013,0.00156013
5,57.2804,2.00052,0.30266,1.21126,0.63278,0.14035,0.09984,0.02822,1.16361,0.8294,0.47327,0.00163399,0.00163399,0.00163399
6,68.6929,1.95963,0.3248,0.97039,0.18575,0.14681,0.07537,0.02044,1.20357,0.50785,0.54509,0.00162574,0.00162574,0.00162574
7,80.1056,1.62777,0.35612,0.69604,0.6824,0.20574,0.16103,0.06232,1.05595,0.64502,0.46208,0.00161749,0.00161749,0.00161749
8,91.6494,1.61318,0.35518,0.62548,0.73697,0.20494,0.24354,0.09875,1.03599,0.53798,0.38098,0.00160924,0.00160924,0.00160924
9,103.154,1.23633,0.41975,0.36228,0.298,0.21789,0.16021,0.04678,1.08946,0.50247,0.50506,0.00160099,0.00160099,0.00160099
10,114.494,1.13378,0.4527,0.31473,0.40084,0.27943,0.22706,0.07779,0.94513,0.54088,0.4101,0.00159274,0.00159274,0.00159274
11,125.897,1.11896,0.46249,0.29593,0.35443,0.38995,0.31068,0.11985,0.84537,0.5648,0.31419,0.00158448,0.00158448,0.00158448
12,137.383,1.06954,0.47143,0.27829,0.36358,0.29179,0.25485,0.09434,0.91687,0.5482,0.37204,0.00157623,0.00157623,0.00157623
13,148.777,1.04359,0.46492,0.28632,0.33539,0.35916,0.30788,0.11059,0.88175,0.53092,0.32758,0.00156798,0.00156798,0.00156798
