epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1841,2.11183,0.56629,0.96024,0.01528,0.04147,0.00544,0.00123,1.66689,0.35493,0.75683,0.00038341,0.00038341,0.00038341
2,22.6442,1.66024,0.31212,0.56151,0.57269,0.10367,0.04228,0.0098,1.5461,0.53482,0.52328,0.000779612,0.000779612,0.000779612
3,34.2997,1.41584,0.46216,0.35349,0.37947,0.23278,0.15386,0.06877,1.24684,0.41237,0.57805,0.00117185,0.00117185,0.00117185
4,45.7915,1.61427,0.33704,0.45944,0.21041,0.22592,0.15003,0.07013,1.40384,0.4472,0.46477,0.00156013,0.00156013,0.00156013
5,57.2974,1.62231,0.38629,0.48259,0.60864,0.40112,0.32467,0.13355,0.95994,0.74735,0.31214,0.00163399,0.00163399,0.00163399
6,68.8112,1.51449,0.41282,0.46972,0.50399,0.35971,0.30577,0.11238,0.88189,0.70333,0.32339,0.00162574,0.00162574,0.00162574
7,80.1836,1.24939,0.46528,0.37231,0.61042,0.39938,0.32812,0.12521,0.84702,0.64943,0.30212,0.00161749,0.00161749,0.00161749
8,91.5727,1.16506,0.4688,0.27795,0.64273,0.39992,0.3383,0.1488,0.8015,0.73363,0.26542,0.00160924,0.00160924,0.00160924
9,103.053,1.10322,0.48525,0.28571,0.55524,0.38792,0.41264,0.17795,0.79547,0.56899,0.277,0.00160099,0.00160099,0.00160099
10,114.512,1.15484,0.42025,0.32771,0.50695,0.40425,0.39501,0.15489,0.84054,0.52903,0.28209,0.00159274,0.00159274,0.00159274
11,125.918,1.07258,0.44285,0.30119,0.53163,0.36419,0.33894,0.11035,0.99847,0.47128,0.35447,0.00158448,0.00158448,0.00158448
12,137.268,1.04749,0.45788,0.28685,0.55196,0.36794,0.33778,0.1121,1.00675,0.49786,0.35132,0.00157623,0.00157623,0.00157623
13,148.631,0.96194,0.48122,0.24817,0.58704,0.54956,0.48277,0.20445,0.79803,0.5261,0.27692,0.00156798,0.00156798,0.00156798
14,160.077,0.97798,0.46878,0.25182,0.65224,0.51332,0.47632,0.20238,0.80353,0.56345,0.27337,0.00155973,0.00155973,0.00155973
15,171.432,0.94129,0.50789,0.22428,0.67599,0.43088,0.445,0.18183,0.81538,0.54651,0.27415,0.00155148,0.00155148,0.00155148
16,182.769,0.92902,0.49624,0.22674,0.72168,0.42106,0.45203,0.18503,0.84753,0.51886,0.2751,0.00154323,0.00154323,0.00154323
17,194.122,0.91922,0.52238,0.23791,0.6736,0.46156,0.47372,0.20173,0.85182,0.48986,0.2715,0.00153497,0.00153497,0.00153497
18,205.494,0.9424,0.47153,0.22493,0.69422,0.45502,0.48347,0.20138,0.83607,0.54348,0.2735,0.00152672,0.00152672,0.00152672
19,216.856,0.86688,0.50263,0.20108,0.72867,0.44027,0.48189,0.2064,0.80968,0.49611,0.26223,0.00151847,0.00151847,0.00151847
20,228.354,0.89154,0.48003,0.21904,0.69733,0.43573,0.46914,0.20178,0.82344,0.50338,0.26505,0.00151022,0.00151022,0.00151022
21,239.723,0.90152,0.47966,0.21783,0.65045,0.44794,0.45825,0.20172,0.80281,0.50712,0.26746,0.00150197,0.00150197,0.00150197
22,251.1,0.89301,0.47761,0.20442,0.63596,0.43867,0.47256,0.20591,0.77447,0.50854,0.25951,0.00149372,0.00149372,0.00149372
23,262.444,0.83361,0.48152,0.18863,0.59439,0.46962,0.49162,0.21363,0.77311,0.58134,0.25072,0.00148546,0.00148546,0.00148546
24,273.922,0.88145,0.47707,0.20355,0.68303,0.45734,0.50747,0.22794,0.74688,0.55317,0.23725,0.00147721,0.00147721,0.00147721
