epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/feat_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/feat_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
36,4577.18,0.61894,0.35643,0.83689,0.00661,0.3353,0.29878,0.3079,0.15338,1.89841,1.55719,1.61699,0,0.0082675,0.0082675,0.0082675,0.0082675
37,4704.14,0.60967,0.34913,0.83461,0.00722,0.33354,0.29322,0.30651,0.15318,1.89652,1.6041,1.61292,0,0.008218,0.008218,0.008218,0.008218
38,4830.97,0.60129,0.34306,0.83143,0.00754,0.33466,0.29255,0.30862,0.15483,1.89345,1.61646,1.6263,0,0.0081685,0.0081685,0.0081685,0.0081685
39,4957.94,0.5919,0.34224,0.83032,0.00666,0.33646,0.29069,0.30632,0.15264,1.89644,1.63806,1.62464,0,0.008119,0.008119,0.008119,0.008119
40,5084.89,0.58209,0.33511,0.82712,0.00593,0.34362,0.29423,0.30848,0.15473,1.89476,1.56802,1.64257,0,0.0080695,0.0080695,0.0080695,0.0080695
41,5211.95,0.57586,0.33308,0.82617,0.00667,0.33876,0.29333,0.30882,0.15436,1.88836,1.5766,1.62561,0,0.00802,0.00802,0.00802,0.00802
42,5338.89,0.56739,0.32753,0.82347,0.00599,0.32969,0.29327,0.3063,0.15431,1.88185,1.59019,1.62168,0,0.0079705,0.0079705,0.0079705,0.0079705
43,5465.77,0.56182,0.32467,0.82207,0.00636,0.34329,0.28973,0.30724,0.15473,1.90224,1.63422,1.64528,0,0.007921,0.007921,0.007921,0.007921
44,5592.72,0.5516,0.31913,0.81938,0.00722,0.3404,0.29383,0.30808,0.15577,1.87185,1.59892,1.6307,0,0.0078715,0.0078715,0.0078715,0.0078715
45,5719.74,0.54498,0.31769,0.81829,0.00661,0.34599,0.2829,0.30948,0.15774,1.87929,1.66777,1.62849,0,0.007822,0.007822,0.007822,0.007822
46,5846.63,0.53753,0.31299,0.81634,0.00594,0.3488,0.28032,0.30565,0.15586,1.87861,1.66347,1.62227,0,0.0077725,0.0077725,0.0077725,0.0077725
47,5973.54,0.53414,0.31123,0.81566,0.00631,0.34304,0.283,0.3067,0.1554,1.88511,1.68623,1.62729,0,0.007723,0.007723,0.007723,0.007723
48,6100.56,0.52303,0.31014,0.81431,0.00637,0.33343,0.27642,0.29779,0.15036,1.87526,1.65745,1.62996,0,0.0076735,0.0076735,0.0076735,0.0076735
49,6227.61,0.51925,0.30267,0.81269,0.00547,0.33937,0.279,0.30409,0.15358,1.87592,1.62207,1.63417,0,0.007624,0.007624,0.007624,0.007624
50,6354.62,0.51055,0.30297,0.81128,0.00556,0.3438,0.28651,0.30733,0.15644,1.8769,1.67411,1.64231,0,0.0075745,0.0075745,0.0075745,0.0075745
51,6481.55,0.50886,0.29525,0.80987,0.00558,0.34035,0.27828,0.30571,0.1558,1.88412,1.65858,1.64838,0,0.007525,0.007525,0.007525,0.007525
52,6608.57,0.4985,0.29493,0.80756,0.00539,0.35146,0.28308,0.31016,0.1591,1.86738,1.63695,1.64356,0,0.0074755,0.0074755,0.0074755,0.0074755
53,6735.51,0.49609,0.29363,0.80708,0.00683,0.34229,0.29137,0.30499,0.1562,1.86658,1.66185,1.64255,0,0.007426,0.007426,0.007426,0.007426
54,6862.49,0.492,0.28764,0.80612,0.00581,0.35058,0.27588,0.30757,0.15779,1.86978,1.70147,1.63597,0,0.0073765,0.0073765,0.0073765,0.0073765
55,6989.38,0.48416,0.28617,0.80404,0.00545,0.33934,0.26802,0.29815,0.15261,1.86886,1.71056,1.64824,0,0.007327,0.007327,0.007327,0.007327
56,7116.29,0.47969,0.2866,0.80433,0.0063,0.35079,0.2697,0.30645,0.15793,1.86105,1.67362,1.63038,0,0.0072775,0.0072775,0.0072775,0.0072775
