epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,202.412,3.97363,2.91711,2.78393,0.41919,0.45758,0.41744,0.15162,4.18658,3.09557,3.21507,0.00132868,0.00132868,0.00132868
43,207.223,3.94564,2.8512,2.78963,0.52691,0.39664,0.42578,0.1522,4.14591,3.21502,3.26022,0.00132043,0.00132043,0.00132043
44,212.011,3.94147,2.86571,2.72372,0.44862,0.3625,0.38587,0.1376,4.29827,3.57813,3.37932,0.00131218,0.00131218,0.00131218
45,216.837,3.98478,2.92556,2.82281,0.47468,0.39234,0.42507,0.16103,4.17469,3.41843,3.25672,0.00130393,0.00130393,0.00130393
46,221.678,3.90972,2.71824,2.71168,0.49411,0.41731,0.42466,0.16589,4.05744,3.08246,3.24802,0.00129568,0.00129568,0.00129568
47,226.458,3.91312,2.855,2.79122,0.37116,0.4693,0.35532,0.11912,4.29033,3.32329,3.4291,0.00128742,0.00128742,0.00128742
48,231.256,4.01128,2.78037,2.81106,0.52741,0.45239,0.40041,0.13198,4.33839,3.13725,3.50425,0.00127917,0.00127917,0.00127917
49,236.129,4.00718,2.74741,2.75108,0.40215,0.36123,0.34531,0.12306,4.59136,3.57768,3.68155,0.00127092,0.00127092,0.00127092
50,240.952,3.90481,2.67526,2.708,0.5203,0.41555,0.44623,0.17222,4.08489,2.95756,3.27199,0.00126267,0.00126267,0.00126267
51,245.779,3.91077,2.70996,2.68975,0.52974,0.51682,0.50158,0.19369,3.97091,2.88969,3.15967,0.00125442,0.00125442,0.00125442
52,250.626,3.81185,2.66873,2.71101,0.54455,0.44854,0.4505,0.17348,4.04901,3.06304,3.21598,0.00124617,0.00124617,0.00124617
53,255.441,3.85827,2.65005,2.75906,0.53664,0.36045,0.40496,0.15049,4.27894,3.43454,3.38755,0.00123791,0.00123791,0.00123791
54,260.212,3.94032,2.64949,2.74755,0.37729,0.33226,0.29986,0.0944,4.79365,3.71184,3.7798,0.00122966,0.00122966,0.00122966
55,264.964,3.87032,2.67344,2.78284,0.56389,0.42959,0.46069,0.17018,4.19282,2.96988,3.29718,0.00122141,0.00122141,0.00122141
56,269.803,3.96775,2.624,2.74334,0.52989,0.43493,0.46375,0.17128,4.16354,2.96836,3.31194,0.00121316,0.00121316,0.00121316
57,274.629,3.87857,2.62788,2.74676,0.56688,0.45104,0.4312,0.16042,4.16608,3.16909,3.33021,0.00120491,0.00120491,0.00120491
58,279.429,3.92063,2.69577,2.76045,0.58866,0.45024,0.45002,0.17776,4.08033,3.25222,3.22915,0.00119666,0.00119666,0.00119666
59,284.202,3.87948,2.65768,2.77872,0.52217,0.4882,0.48534,0.18813,4.02288,2.86995,3.13366,0.0011884,0.0011884,0.0011884
60,289.006,3.89655,2.60835,2.74131,0.51144,0.47218,0.46743,0.17528,4.18433,2.89589,3.32767,0.00118015,0.00118015,0.00118015
61,293.91,3.85601,2.53358,2.67402,0.56111,0.41515,0.46468,0.18461,4.03793,2.96968,3.18044,0.0011719,0.0011719,0.0011719
62,298.712,3.9147,2.63236,2.70483,0.57907,0.3957,0.44808,0.1778,4.09092,3.02033,3.26102,0.00116365,0.00116365,0.00116365
63,303.497,3.84025,2.58268,2.70425,0.54901,0.40439,0.45025,0.17357,4.09762,3.10267,3.1994,0.0011554,0.0011554,0.0011554
64,308.303,3.86158,2.62208,2.68689,0.49152,0.43134,0.43051,0.16274,4.07549,3.22955,3.17736,0.00114715,0.00114715,0.00114715
65,313.078,3.76338,2.53854,2.69058,0.46421,0.47671,0.42731,0.152,4.23557,2.86642,3.36807,0.00113889,0.00113889,0.00113889
66,317.87,3.78875,2.5178,2.66617,0.51657,0.4614,0.44321,0.14865,4.3803,2.96037,3.49751,0.00113064,0.00113064,0.00113064
67,322.645,3.77839,2.45867,2.69057,0.5267,0.437,0.45067,0.18103,4.08283,3.19338,3.25209,0.00112239,0.00112239,0.00112239
68,327.414,3.75758,2.46529,2.66029,0.56638,0.42559,0.46792,0.17004,4.31011,3.0552,3.44308,0.00111414,0.00111414,0.00111414
69,332.201,3.80516,2.55895,2.71421,0.52401,0.44851,0.45987,0.18119,4.09914,3.1603,3.23913,0.00110589,0.00110589,0.00110589
70,336.972,3.79374,2.5305,2.70332,0.51869,0.3923,0.41613,0.16277,4.25062,3.70086,3.33768,0.00109764,0.00109764,0.00109764
71,341.729,3.79886,2.51512,2.7014,0.57439,0.42145,0.45852,0.17876,4.08184,2.84861,3.22446,0.00108938,0.00108938,0.00108938
