imgsz,h50_phys_px,recall_near,recall_mid,recall_far,n_seeds
640,30.8,0.991,0.9855,0.723,3
960,29.59,0.9921,0.9325,0.4035,3
1280,29.22,0.9893,0.7903,0.3171,3
1920,25.86,0.9646,0.5031,0.0,3
